Date/Time: 2/25/2021 5:27:32 PM
Sensor Name: PinDiode_1
Type: None
Annealing Status: None
Environment: RT
Tester: Andrew

Time Delay per Ramp Step (s): 0.500

Vf: 0.326610

Time	I	0.000000s	Temperature	Air_Temp	Humidity	Dewpoint	
3697135799.529509	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135800.792774	1.000E-3	5.616E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135802.070824	1.000E-5	3.277E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135803.343390	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135804.629457	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135805.897882	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135807.182755	1.000E-5	3.285E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135808.449397	1.000E-3	5.617E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135809.732576	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135810.998012	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135812.282661	1.000E-5	3.280E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135813.555187	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135814.835753	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135816.103906	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135817.385326	1.000E-5	3.284E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135818.652307	1.000E-3	5.608E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135819.931928	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135821.196152	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135822.477050	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135823.745744	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135825.031112	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135826.298994	1.000E-3	5.609E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135827.580134	1.000E-5	3.284E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
