,I(600V),I(800V),I(1000V),DepV
34252_009,-1.171652e-10,-1.292944e-10,-1.726949e-10,271.21212121212125
34252_008,-1.264158e-09,-1.371232e-09,-1.88113e-09,279.29292929292933
34252_018,-9.835743e-10,-1.113639e-09,-1.675647e-09,311.61616161616166
34253_049,-2.147049e-10,-2.347339e-10,-3.11433e-10,267.1717171717172
34253_036,-7.986928e-10,-8.694837e-10,-1.147199e-09,271.21212121212125
34253_037,-2.309759e-10,-2.525452e-10,-3.251393e-10,267.1717171717172
34254_041,-1.642223e-09,-1.695116e-09,-1.881527e-09,283.33333333333337
34254_014,-8.999206e-10,-9.221632e-10,-9.984398e-10,271.21212121212125
34254_025,-1.341902e-08,-1.834642e-08,-2.455787e-08,259.0909090909091
34340_014,-1.079606e-10,0.0,0.0,251.010101010101
34340_040,-1.088315e-10,0.0,0.0,251.010101010101
34340_007,-1.539502e-10,-1.663149e-10,-1.971786e-10,255.05050505050505
34340_039,-1.627758e-10,-1.778608e-10,-2.113109e-10,255.05050505050505
34341_024,-1.203286e-10,-1.265722e-10,-1.331634e-10,242.92929292929296
34341_012,-1.232121e-10,-1.287325e-10,-1.532854e-10,251.010101010101
34341_041,-1.160377e-10,0.0,0.0,255.05050505050505
34341_013,-2.160662e-10,-2.307326e-10,-2.807626e-10,259.0909090909091
34341_038,-2.177114e-10,-2.264933e-10,-2.795923e-10,251.010101010101
34343_015,-1.216225e-10,-1.292405e-10,-1.395876e-10,259.0909090909091
34343_036,-1.088918e-10,-1.155083e-10,-1.255277e-10,263.1313131313132
36696_039,-1.305203e-10,-1.40657e-10,-1.561982e-10,299.49494949494954
36696_010,-1.501898e-10,-1.651717e-10,-1.985209e-10,303.5353535353536
36697_036,-1.309079e-10,-1.475129e-10,-1.884845e-10,307.5757575757576
36697_011,-1.42627e-10,-1.576304e-10,-1.912003e-10,315.6565656565657
37398_012,-1.647729e-10,-1.857175e-10,-2.44892e-10,283.33333333333337
37398_001,-1.829786e-10,-2.043289e-10,-2.637268e-10,279.29292929292933
37399_049,-1.563845e-10,-1.775815e-10,-2.375031e-10,275.2525252525253
37399_033,-1.536125e-10,-1.746455e-10,-2.395055e-10,263.1313131313132
37895_046,-1.748205e-10,-1.951516e-10,-2.496794e-10,239.63963963963965
37895_001,-1.769263e-10,-1.895367e-10,-2.085478e-10,224.26426426426428
37896_001,-1.662443e-10,-1.867337e-10,-2.432579e-10,243.963963963964
37896_044,-1.659725e-10,-1.851447e-10,-2.549008e-10,238.6786786786787
38212_001,-2.180304e-10,-2.394331e-10,-2.960893e-10,237.23723723723725
38212_044,-1.675155e-10,-1.872912e-10,-2.44648e-10,236.7567567567568
