,I(600V),I(800V),I(1000V),DepV
34252_009,-2.245957e-11,-2.265044e-11,-2.336405e-11,251.010101010101
34252_008,-1.472548e-10,-1.486105e-10,-1.497539e-10,255.05050505050505
34252_018,-1.11087e-10,-1.1244e-10,-1.130488e-10,295.4545454545455
34253_049,-9.454765e-11,-9.546558e-11,-9.635166e-11,251.010101010101
34253_036,-1.566453e-10,-1.574904e-10,-1.581921e-10,251.010101010101
34253_037,-3.17029e-11,-3.156835e-11,-3.314244e-11,251.010101010101
34254_041,-1.357064e-10,-1.364348e-10,-1.378659e-10,255.05050505050505
34254_014,-2.748743e-11,-2.790726e-11,-2.890767e-11,255.05050505050505
34254_025,-1.326685e-08,-1.817582e-08,-2.437875e-08,255.05050505050505
34340_014,-1.32654e-11,-1.471296e-11,-1.63628e-11,234.84848484848487
34340_040,-1.814765e-11,0.0,0.0,234.84848484848487
34340_007,-2.312012e-11,-2.37229e-11,-2.497062e-11,238.8888888888889
34340_039,-5.938233e-11,-6.034936e-11,-6.18299e-11,238.8888888888889
34341_024,-1.745552e-11,-1.960893e-11,-1.980307e-11,283.33333333333337
34341_012,-2.118083e-11,-2.241265e-11,-2.284229e-11,234.84848484848487
34341_041,-1.869324e-11,0.0,0.0,238.8888888888889
34341_013,-2.987732e-11,-3.072132e-11,-3.168528e-11,238.8888888888889
34341_038,-3.021738e-11,-3.142743e-11,-3.25511e-11,234.84848484848487
34343_015,-2.088183e-11,-2.163699e-11,-2.206619e-11,242.92929292929296
34343_036,-1.892903e-11,-1.980885e-11,-2.082659e-11,246.96969696969697
36696_039,-4.387705e-11,-4.715743e-11,-4.981606e-11,291.41414141414145
36696_010,-5.9349e-11,-6.392618e-11,-6.632995e-11,287.3737373737374
36697_036,-4.415947e-11,-4.606559e-11,-4.904526e-11,303.5353535353536
36697_011,-5.290394e-11,-5.683594e-11,-5.984722e-11,303.5353535353536
37398_012,-6.413014e-11,-6.882774e-11,-7.29374e-11,263.1313131313132
37398_001,-7.555586e-11,-8.102288e-11,-8.56011e-11,259.0909090909091
37399_049,-6.316243e-11,-6.753835e-11,-7.156045e-11,263.1313131313132
37399_033,-5.950992e-11,-6.349333e-11,-6.776887e-11,259.0909090909091
37895_046,-6.207556e-11,-6.666091e-11,-7.064983e-11,227.1471471471472
37895_001,-6.8742e-11,-7.331043e-11,-7.734884e-11,225.22522522522524
37896_001,-6.462588e-11,-6.935064e-11,-7.353225e-11,233.8738738738739
37896_044,-5.363617e-11,-5.703448e-11,0.0,228.5885885885886
38212_001,-8.543254e-11,-9.140899e-11,-9.631861e-11,222.82282282282284
38212_044,-5.687268e-11,-6.095383e-11,-6.43772e-11,223.30330330330327
