,I(600V),I(800V),I(1000V),DepV
34252_009,-1.147176e-10,-1.210291e-10,-1.373142e-10,259.0909090909091
34252_008,-1.284602e-09,-1.333171e-09,-1.575754e-09,259.0909090909091
34252_018,-9.89259e-10,-1.04002e-09,-1.306032e-09,295.4545454545455
34253_049,-9.181383e-10,-9.513551e-10,-1.105547e-09,259.0909090909091
34253_036,-4.737914e-10,-4.912105e-10,-5.644829e-10,255.05050505050505
34253_037,-2.106858e-10,-2.171737e-10,-2.308231e-10,255.05050505050505
34254_041,-5.56706e-10,-5.735966e-10,-6.325599e-10,259.0909090909091
34254_014,-2.138865e-10,-2.230485e-10,-2.497787e-10,259.0909090909091
34254_025,-1.672724e-10,-1.743716e-10,-1.885301e-10,259.0909090909091
34340_014,-1.03e-10,-1.07e-10,-1.24e-10,238.8888888888889
34340_040,-1.090465e-10,0.0,0.0,238.8888888888889
34340_007,-2.229789e-10,-2.331151e-10,-2.639087e-10,242.92929292929296
34340_039,-1.59498e-10,-1.669812e-10,-1.881212e-10,242.92929292929296
34341_024,-1.21066e-10,-1.223814e-10,-1.276972e-10,246.96969696969697
34341_012,-1.107233e-10,-1.157452e-10,-1.306661e-10,238.8888888888889
34341_041,-1.090698e-10,0.0,0.0,238.8888888888889
34341_013,-2.271056e-10,-2.356624e-10,-2.645306e-10,242.92929292929296
34341_038,-2.117922e-10,-2.202799e-10,-2.490976e-10,238.8888888888889
34343_015,-1.176942e-10,-1.230648e-10,-1.309306e-10,251.010101010101
34343_036,-1.092527e-10,-1.140169e-10,-1.226059e-10,251.010101010101
36696_039,-1.325321e-10,-1.433303e-10,-1.725637e-10,295.4545454545455
36696_010,-1.473868e-10,-1.59285e-10,-1.870798e-10,295.4545454545455
36697_036,-1.336774e-10,-1.451853e-10,-1.714498e-10,307.5757575757576
36697_011,-1.433614e-10,-1.552506e-10,-1.781013e-10,307.5757575757576
37398_012,-1.613415e-10,-1.749356e-10,-2.048537e-10,271.21212121212125
37398_001,-1.81352e-10,-1.958271e-10,-2.250862e-10,263.1313131313132
37399_049,-1.549721e-10,-1.677539e-10,-2.011429e-10,271.21212121212125
37399_033,-1.514785e-10,-1.647344e-10,-1.987542e-10,263.1313131313132
37895_046,-1.660411e-10,-1.794546e-10,-2.082108e-10,231.951951951952
37895_001,-1.832422e-10,-1.959233e-10,-2.224032e-10,228.10810810810813
37896_001,-1.652367e-10,-1.798971e-10,-2.099205e-10,233.8738738738739
37896_044,-1.627825e-10,-1.751037e-10,-2.062981e-10,232.91291291291293
38212_001,-2.086679e-10,-2.232834e-10,-2.516272e-10,228.5885885885886
38212_044,-1.654764e-10,-1.782762e-10,-2.080956e-10,224.7447447447448
