Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.41E+19,1.95E+15
10,1.90E+19,1.87E+15
20,1.80E+19,1.66E+15
30,1.51E+19,1.59E+15
40,1.49E+19,1.54E+15
50,1.40E+19,1.47E+15
60,1.37E+19,1.49E+15
70,1.26E+19,1.40E+15
80,1.27E+19,1.34E+15
90,1.26E+19,1.35E+15
100,1.30E+19,1.36E+15
120,1.31E+19,1.27E+15
