,I(600V),I(800V),I(1000V),DepV
34330_2S_048,-2.28e-09,-2.42e-09,-2.69e-09,319.69696969696975
34330_2S_049,-1.261242e-09,-1.306035e-09,0.0,319.69696969696975
34331_2S_007,-1.497136e-09,-1.565586e-09,0.0,315.6565656565657
34331_2S_042,-1.331118e-09,-1.394546e-09,-1.459446e-09,291.41414141414145
37903_2S_045,-3.59e-09,-3.8e-09,-4.05e-09,239.1591591591592
37903_2S_003,-1.8212e-07,0.0,0.0,242.5225225225225
38202_2S_031,-2.25e-09,-2.38e-09,-2.56e-09,226.1861861861862
38202_2S_001,-2.97e-09,-1.437e-07,-8.6976e-07,220.4204204204204
38202_2S_028,-3.15e-09,-3.33e-09,-3.52e-09,225.22522522522524
38693_2S_046,-3.34e-09,-3.54e-09,-3.78e-09,231.951951951952
38693_2S_001,-3.49e-09,-3.73e-09,-4.05e-09,221.86186186186185
38694_2S_046,-2.63e-09,-2.81e-09,-3.02e-09,230.03003003003005
38694_2S_003,-2.81e-09,-3.01e-09,-3.27e-09,228.5885885885886
38695_2S_044,-2.74e-09,-2.94e-09,-3.17e-09,230.51051051051053
38695_2S_002,-2.68e-09,-2.87e-09,-3.09e-09,229.0690690690691
38696_2S_046,-5.01e-09,-5.25e-09,-5.61e-09,217.05705705705705
38696_2S_001,-2.93e-09,-3.1e-09,-3.32e-09,228.10810810810813
38713_2S_049,-2.19e-09,-2.33e-09,-2.54e-09,244.9249249249249
38873_2S_003,-2.51e-09,-2.7e-09,-2.91e-09,206.48648648648648
38873_2S_035,-4.92e-09,-5.16e-09,-5.5e-09,222.34234234234236
38874_2S_011,-2.96e-09,-3.15e-09,-3.4e-09,223.30330330330327
38874_2S_044,-4.33e-09,-4.6e-09,-4.94e-09,208.4084084084084
38875_2S_048,-2.42e-09,-2.66e-09,-3.02e-09,246.8468468468469
38875_2S_004,-3.76e-09,-4.01e-09,-4.32e-09,238.1981981981982
