,I(600V),I(800V),I(1000V),DepV
34330_2S_048,-2.208093e-10,-2.36409e-10,-2.853448e-10,295.4545454545455
34330_2S_049,-2.155081e-10,-2.248638e-10,-2.348291e-10,291.41414141414145
34331_2S_007,-2.536235e-10,-2.660165e-10,-2.806336e-10,295.4545454545455
34331_2S_042,-2.469296e-10,-2.592284e-10,-2.898212e-10,271.21212121212125
37903_2S_045,-4.751489e-10,-5.061375e-10,-5.462867e-10,221.86186186186185
37903_2S_003,-4.697656e-10,-5.0117e-10,-5.504353e-10,225.22522522522524
38202_2S_031,-4.344676e-10,-4.628923e-10,-5.183765e-10,207.44744744744744
38202_2S_028,-4.294716e-10,-4.395167e-10,-5.026153e-10,207.92792792792795
38693_2S_046,-4.547071e-10,-4.926549e-10,-5.588449e-10,212.73273273273276
38693_2S_001,-5.107933e-10,-5.584118e-10,-4.13581e-08,200.72072072072072
38694_2S_046,-5.005055e-10,-5.308664e-10,-5.685681e-10,218.4984984984985
38694_2S_003,-6.047906e-10,-6.510286e-10,-6.985579e-10,208.4084084084084
38695_2S_044,-4.620253e-10,-4.973389e-10,-5.551526e-10,215.13513513513516
38695_2S_002,-4.562673e-10,-4.925567e-10,-5.484965e-10,207.92792792792795
38696_2S_046,-5.03504e-10,-5.402851e-10,-5.959895e-10,212.25225225225225
38696_2S_001,-5.980526e-10,-6.418744e-10,-6.996189e-10,212.25225225225225
38713_2S_049,-4.819822e-10,-5.137303e-10,-5.632165e-10,206.96696696696696
38873_2S_003,-5.134078e-10,-5.464174e-10,-5.946519e-10,189.66966966966967
38873_2S_035,-4.819822e-10,-5.137303e-10,-5.632165e-10,206.96696696696696
38874_2S_011,-5.405874e-10,-5.803378e-10,-6.261427e-10,206.48648648648648
38874_2S_044,-5.250085e-10,-5.632306e-10,-6.238434e-10,192.07207207207207
38875_2S_048,-4.401754e-10,-4.722177e-10,-5.155839e-10,227.62762762762765
38875_2S_004,-4.894078e-10,-5.341795e-10,0.0,215.6156156156156
