,I(600V),I(800V),I(1000V),DepV
34330_2S_048,-1.020221e-10,-1.092451e-10,-1.276858e-10,295.4545454545455
34330_2S_049,-1.052454e-10,-1.090868e-10,-1.20379e-10,295.4545454545455
34331_2S_007,-1.148441e-10,-1.266977e-10,-1.686903e-10,307.5757575757576
34331_2S_042,-1.202309e-10,-1.275797e-10,-1.451148e-10,283.33333333333337
37903_2S_045,-1.866346e-10,-1.999256e-10,-2.245669e-10,230.990990990991
37903_2S_003,-1.840274e-10,-1.966034e-10,-2.149106e-10,231.4714714714715
38202_2S_031,-1.692496e-10,-1.821613e-10,-2.08285e-10,222.34234234234236
38202_2S_028,-1.743059e-10,0.0,0.0,223.7837837837838
38693_2S_046,-1.860663e-10,-2.001069e-10,-2.199926e-10,219.45945945945945
38693_2S_001,-1.981466e-10,-1.4948e-08,0.0,212.25225225225225
38694_2S_046,-2.031046e-10,-2.169152e-10,-2.481165e-10,212.73273273273276
38694_2S_003,-2.228574e-10,-2.440945e-10,-2.848583e-10,212.73273273273276
38695_2S_044,-1.995987e-10,-2.168213e-10,-2.562328e-10,224.7447447447448
38695_2S_002,-1.913242e-10,-2.116358e-10,-2.600539e-10,223.30330330330327
38696_2S_046,-2.023127e-10,-2.189534e-10,-2.505623e-10,223.7837837837838
38696_2S_001,-2.30066e-10,-2.484029e-10,-2.849157e-10,221.86186186186185
38713_2S_049,-1.87647e-10,-2.019833e-10,-2.210592e-10,217.53753753753756
38873_2S_003,-1.93927e-10,-2.094911e-10,-2.385039e-10,193.993993993994
38873_2S_035,-1.87647e-10,-2.019833e-10,-2.210592e-10,217.53753753753756
38874_2S_011,-2.179738e-10,-2.348456e-10,-3.431079e-10,213.6936936936937
38874_2S_044,-2.082449e-10,-2.304185e-10,-2.871353e-10,206.006006006006
38875_2S_048,-1.622873e-10,-1.766096e-10,-2.009073e-10,243.00300300300304
38875_2S_004,-1.950158e-10,-2.104053e-10,-2.318494e-10,229.5495495495496
