,I(600V),I(800V),I(1000V),DepV
34330_2S_048,-1.046773e-10,-1.138824e-10,-1.481471e-10,295.4545454545455
34330_2S_049,-1.015979e-10,-1.085075e-10,-1.219435e-10,291.41414141414145
34331_2S_007,-1.115211e-10,-1.197178e-10,-1.489282e-10,299.49494949494954
34331_2S_042,-1.160112e-10,-1.242308e-10,-1.46578e-10,275.2525252525253
37903_2S_045,-1.862054e-10,-1.992334e-10,-2.175372e-10,227.62762762762765
37903_2S_003,-1.854389e-10,-1.983273e-10,-2.145071e-10,227.62762762762765
38202_2S_031,-1.751224e-10,-1.876271e-10,-2.194221e-10,210.33033033033036
38202_2S_028,-1.689033e-10,-1.844138e-10,-2.037615e-10,212.25225225225225
38693_2S_046,-1.879424e-10,-2.018091e-10,-2.276166e-10,218.97897897897897
38693_2S_001,-1.872944e-10,-2.020198e-10,-2.210163e-10,208.4084084084084
38694_2S_046,-2.042279e-10,-2.161144e-10,-2.384248e-10,210.8108108108108
38694_2S_003,-2.349751e-10,-2.528805e-10,-2.798974e-10,213.2132132132132
38695_2S_044,-1.929768e-10,-2.072743e-10,-2.341088e-10,213.6936936936937
38695_2S_002,-1.993536e-10,-2.144792e-10,-2.421035e-10,212.25225225225225
38696_2S_046,-1.981483e-10,-2.111684e-10,-2.308071e-10,214.65465465465465
38696_2S_001,-2.216165e-10,-2.371779e-10,-2.60594e-10,217.05705705705705
38713_2S_049,-1.856888e-10,-1.99235e-10,-2.215807e-10,211.77177177177177
38873_2S_003,-2.043392e-10,-2.185084e-10,-2.439914e-10,192.07207207207207
38873_2S_035,-1.856888e-10,-1.99235e-10,-2.215807e-10,211.77177177177177
38874_2S_011,-2.171067e-10,-2.335654e-10,-2.610822e-10,207.92792792792795
38874_2S_044,-2.117998e-10,-2.264314e-10,-2.457137e-10,194.95495495495496
38875_2S_048,-1.718634e-10,-1.844686e-10,-2.097398e-10,230.51051051051053
38875_2S_004,-1.883597e-10,-2.027933e-10,-2.310975e-10,220.4204204204204
