,I(600V),I(800V),I(1000V),DepV
34330_2S_048,-2.145948e-11,-2.1872e-11,-2.248416e-11,291.41414141414145
34330_2S_049,-2.010435e-11,-2.094975e-11,-1.20379e-10,291.41414141414145
34331_2S_007,-2.678399e-11,-2.754324e-11,-2.889626e-11,291.41414141414145
34331_2S_042,-2.594738e-11,-2.729149e-11,-2.814261e-11,267.1717171717172
37903_2S_045,-7.069594e-11,-7.595741e-11,0.0,229.0690690690691
37903_2S_003,-7.406451e-11,-8.011638e-11,-8.528978e-11,232.43243243243245
38202_2S_031,-6.258567e-11,-6.737311e-11,-7.236488e-11,206.006006006006
38202_2S_028,-6.561122e-11,-7.03235e-11,-7.542022e-11,211.2912912912913
38693_2S_046,-7.892607e-11,-8.460576e-11,-8.964433e-11,217.53753753753756
38693_2S_001,0.0,0.0,0.0,204.08408408408408
38694_2S_046,-7.799229e-11,-8.266238e-11,-8.908011e-11,211.2912912912913
38694_2S_003,-9.98784e-11,-1.074852e-10,-1.129506e-10,212.73273273273276
38695_2S_044,-7.800781e-11,-8.403446e-11,-8.911731e-11,212.73273273273276
38695_2S_002,-7.241915e-11,-7.802994e-11,-8.246883e-11,210.33033033033036
38696_2S_046,-8.379114e-11,-8.912141e-11,-9.490425e-11,216.57657657657657
38696_2S_001,-1.064955e-10,-1.140119e-10,-1.211457e-10,216.0960960960961
38713_2S_049,-7.639848e-11,-8.239941e-11,-8.644619e-11,208.88888888888889
38873_2S_003,-7.371279e-11,-7.958659e-11,-8.461864e-11,190.63063063063063
38873_2S_035,-7.639848e-11,-8.239941e-11,-8.644619e-11,208.88888888888889
38874_2S_011,-9.174769e-11,-9.89783e-11,-1.049534e-10,204.08408408408408
38874_2S_044,-7.916912e-11,-8.48555e-11,-9.054825e-11,192.07207207207207
38875_2S_048,-6.07167e-11,-6.526495e-11,-6.936835e-11,232.91291291291293
38875_2S_004,-8.24948e-11,-8.802966e-11,0.0,218.4984984984985
