File,I(600V),I(800V),I(1000V),DepV,I(DepV)
38694_040_2-S_HM_XX_DIODE,-5.09919e-06,-5.334831e-06,-5.588844e-06,442.7027027027027,5.076590216216178e-06
38694_040_2-S_HM_XX_DIODEHALF,-1.664812e-06,-1.764006e-06,-1.879321e-06,460.5405405405405,2.0246572972972805e-07
38694_040_2-S_HM_XX_DIODEHALFPSTOP,-1.540857e-06,-1.64663e-06,-1.743749e-06,450.81081081081084,7.54930567567573e-07
38694_040_2-S_HM_XX_DIODEHALFPSTOP_GR,-9.152546e-07,-9.524182e-07,-1.000436e-06,465.4054054054054,3.843083108108071e-07
38694_040_2-S_HM_XX_DIODEQUARTER,-5.535178e-07,-5.913829e-07,-6.298628e-07,224.698,4.2705903092e-07
38694_040_2-S_HM_XX_IRRADSENSOR_20min,-1.456e-05,-1.587e-05,-1.698e-05,529.7297297297298,4.462432432432523e-06
