GCD Test
Bias: 5000.000000
CV_36696_039_PSS_HM_XX_DIODEHALF
Date/Time: 8/17/2021 2:58:23 PM
Sensor Name: 36696_039_PSS_HM_XX_DIODEHALF
Type: P
Annealing Status: Unirrad
Environment: -20C
Tester: Eric Spencer

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint
   -5.0000	3.632E-11	4.975E+8	   20.0759	   21.0255	   15.6837	   -6.0008	
  -10.0000	2.731E-11	7.621E+8	   20.0425	   21.0255	   14.6401	   -6.8974	
  -15.0000	2.305E-11	9.461E+8	   20.0013	   21.0055	   13.9839	   -7.5066	
  -20.0000	2.036E-11	1.153E+9	   19.9550	   21.0106	   13.2818	   -8.1653	
  -25.0000	1.835E-11	1.291E+9	   19.9292	   20.9952	   12.8982	   -8.5528	
  -30.0000	1.651E-11	1.249E+9	   19.9164	   20.9952	   12.3397	   -9.1174	
  -35.0000	1.475E-11	1.428E+9	   19.9266	   21.0458	   12.0841	   -9.3440	
  -40.0000	1.342E-11	1.542E+9	   19.9421	   21.0474	   11.8292	   -9.6131	
  -45.0000	1.269E-11	1.540E+9	   19.9755	   21.0354	   11.6170	   -9.8516	
  -50.0000	1.226E-11	1.421E+9	   20.0142	   21.0271	   11.4162	  -10.0782	
  -55.0000	9.964E-12	8.746E+8	   20.0553	   21.0329	   11.2287	  -10.2826	
  -60.0000	9.730E-12	1.549E+9	   20.0914	   21.0307	   11.0544	  -10.4811	
  -65.0000	9.538E-12	1.520E+9	   20.1171	   21.0436	   10.9146	  -10.6310	
  -70.0000	9.359E-12	1.557E+9	   20.1326	   21.0448	   10.7770	  -10.7893	
  -75.0000	9.206E-12	1.655E+9	   20.1300	   21.0095	   10.6458	  -10.9700	
  -80.0000	9.066E-12	1.701E+9	   20.1120	   21.0389	   10.5376	  -11.0752	
  -85.0000	8.931E-12	1.667E+9	   20.0888	   21.0260	   10.4279	  -11.2159	
  -90.0000	8.816E-12	1.724E+9	   20.0605	   21.0497	   10.3248	  -11.3218	
  -95.0000	8.708E-12	1.790E+9	   20.0322	   21.0444	   10.2347	  -11.4353	
 -100.0000	8.610E-12	1.796E+9	   20.0064	   21.0382	   10.1562	  -11.5359	
 -105.0000	8.514E-12	1.721E+9	   19.9781	   21.0506	   10.0746	  -11.6269	
 -110.0000	8.432E-12	1.722E+9	   19.9627	   21.0401	    9.9956	  -11.7330	
 -115.0000	8.345E-12	2.040E+9	   19.9550	   21.0532	    9.9162	  -11.8221	
 -120.0000	8.276E-12	1.759E+9	   19.9550	   21.0532	    9.9162	  -11.8221	
 -125.0000	8.206E-12	2.033E+9	   19.9627	   21.0169	    9.8302	  -11.9579	
 -130.0000	8.142E-12	2.005E+9	   19.9884	   21.0169	    9.7581	  -12.0493	
 -135.0000	8.075E-12	1.930E+9	   20.0142	   21.0515	    9.7132	  -12.0801	
 -140.0000	8.018E-12	2.201E+9	   20.0811	   21.0466	    9.5968	  -12.2332	
 -145.0000	7.961E-12	1.972E+9	   20.0965	   21.0416	    9.5595	  -12.2852	
 -150.0000	7.907E-12	1.897E+9	   20.1017	   21.0369	    9.5196	  -12.3405	
 -155.0000	7.852E-12	1.916E+9	   20.0939	   21.0591	    9.4902	  -12.3619	
 -160.0000	7.802E-12	2.084E+9	   20.0734	   21.0534	    9.4545	  -12.4129	
 -165.0000	7.765E-12	1.980E+9	   20.0734	   21.0534	    9.4545	  -12.4129	
 -170.0000	7.715E-12	2.054E+9	   20.0245	   21.0527	    9.3776	  -12.5142	
 -175.0000	7.668E-12	1.943E+9	   19.9910	   21.0515	    9.3416	  -12.5628	
 -180.0000	7.628E-12	1.951E+9	   19.9653	   21.0389	    9.3106	  -12.6133	
 -185.0000	7.587E-12	1.994E+9	   19.9421	   21.0560	    9.2691	  -12.6554	
 -190.0000	7.558E-12	2.101E+9	   19.9369	   21.0489	    9.2385	  -12.7016	
 -195.0000	7.518E-12	2.047E+9	   19.9421	   21.0304	    9.2157	  -12.7460	
 -200.0000	7.480E-12	2.040E+9	   19.9550	   21.0525	    9.1948	  -12.7572	
 -205.0000	7.449E-12	1.955E+9	   19.9858	   21.0518	    9.1796	  -12.7781	
 -210.0000	7.416E-12	1.981E+9	   20.0270	   21.0455	    9.1556	  -12.8152	
 -215.0000	7.391E-12	2.134E+9	   20.0270	   21.0455	    9.1556	  -12.8152	
 -220.0000	7.354E-12	2.237E+9	   20.0759	   21.0541	    9.1290	  -12.8445	
 -225.0000	7.324E-12	1.949E+9	   20.1171	   21.0682	    9.0917	  -12.8843	
 -230.0000	7.298E-12	2.155E+9	   20.1145	   21.0606	    9.0737	  -12.9145	
 -235.0000	7.268E-12	1.953E+9	   20.0991	   21.0682	    9.0604	  -12.9268	
 -240.0000	7.242E-12	2.033E+9	   20.0631	   21.0542	    9.0357	  -12.9709	
 -245.0000	7.219E-12	2.282E+9	   20.0373	   21.0576	    9.0272	  -12.9799	
 -250.0000	7.191E-12	2.154E+9	   20.0064	   21.0476	    9.0117	  -13.0086	
 -255.0000	7.168E-12	2.007E+9	   19.9704	   21.0590	    9.0022	  -13.0129	
 -260.0000	7.146E-12	2.197E+9	   19.9704	   21.0590	    9.0022	  -13.0129	
 -265.0000	7.116E-12	2.348E+9	   19.9524	   21.0608	    9.0006	  -13.0137	
 -270.0000	7.097E-12	2.419E+9	   19.9421	   21.0550	    9.0006	  -13.0181	
 -275.0000	7.073E-12	2.213E+9	   19.9601	   21.0513	    8.9902	  -13.0352	
 -280.0000	7.049E-12	2.291E+9	   19.9858	   21.0504	    8.9700	  -13.0636	
 -285.0000	7.026E-12	1.930E+9	   19.9858	   21.0504	    8.9700	  -13.0636	
 -290.0000	7.007E-12	2.011E+9	   20.0296	   21.0573	    8.9507	  -13.0848	
 -295.0000	6.985E-12	2.086E+9	   20.0914	   21.0520	    8.9269	  -13.1214	
 -300.0000	6.969E-12	2.268E+9	   20.1094	   21.0529	    8.9181	  -13.1329	
 -305.0000	6.960E-12	2.227E+9	   20.1120	   21.0471	    8.9039	  -13.1569	
 -310.0000	6.946E-12	2.024E+9	   20.0965	   21.0635	    8.8874	  -13.1673	
 -315.0000	6.940E-12	2.330E+9	   20.0965	   21.0635	    8.8874	  -13.1673	
 -320.0000	6.927E-12	2.165E+9	   20.0708	   21.0446	    8.8694	  -13.2065	
 -325.0000	6.919E-12	2.051E+9	   20.0399	   21.0577	    8.8675	  -13.1992	
 -330.0000	6.917E-12	2.272E+9	   20.0142	   21.0488	    8.8779	  -13.1915	
 -335.0000	6.910E-12	2.088E+9	   19.9858	   21.0475	    8.8757	  -13.1955	
 -340.0000	6.907E-12	2.135E+9	   19.9601	   21.0475	    8.8618	  -13.2148	
 -345.0000	6.906E-12	2.209E+9	   19.9472	   21.0451	    8.8754	  -13.1977	
 -350.0000	6.900E-12	2.210E+9	   19.9498	   21.0451	    8.8665	  -13.2100	
 -355.0000	6.896E-12	2.280E+9	   19.9755	   21.0556	    8.8599	  -13.2113	
 -360.0000	6.893E-12	2.138E+9	   19.9987	   21.0520	    8.8425	  -13.2381	
 -365.0000	6.892E-12	1.991E+9	   20.0245	   21.0432	    8.8362	  -13.2536	
 -370.0000	6.892E-12	2.233E+9	   20.0553	   21.0431	    8.8242	  -13.2703	
 -375.0000	6.897E-12	2.196E+9	   20.0785	   21.0509	    8.8102	  -13.2838	
 -380.0000	6.888E-12	2.076E+9	   20.0914	   21.0589	    8.8140	  -13.2724	
 -385.0000	6.887E-12	2.177E+9	   20.0965	   21.0453	    8.8008	  -13.3012	
 -390.0000	6.881E-12	2.099E+9	   20.0862	   21.0584	    8.7970	  -13.2967	
 -395.0000	6.883E-12	2.147E+9	   20.0631	   21.0527	    8.7767	  -13.3292	
