#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 100000Hz:4.297380E-12
#34254_025_PSS_XX_HM_IrradSensor_Interstrip
#Date/Time: 5/10/2021 4:41:23 PM
#Sensor Name: 34254_025_PSS_XX_HM_IrradSensor
#Type: P
#Annealing Status: 20 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: 1.1e15 Irradiated at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3703524151.188343	-25.806476	-20.000000	2.571429E+38	-2.397600E-5	5.346140E-12	-3.479495E-7	-3.479495E-7	-3.497676E-7	-3.506313E-7	-3.512762E-7	-3.521468E-7
2	3703524185.095081	-25.806481	-20.000000	2.571429E+38	-2.387500E-5	5.402900E-12	-3.467147E-7	-3.475272E-7	-3.482913E-7	-3.491829E-7	-3.499576E-7	-3.506922E-7
3	3703524217.649328	-25.806482	-20.000000	2.571429E+38	-2.398700E-5	5.418300E-12	-3.458729E-7	-3.467583E-7	-3.476290E-7	-3.484007E-7	-3.492091E-7	-3.500617E-7
4	3703524250.715416	-25.806466	-20.000000	2.571429E+38	-2.399400E-5	5.421980E-12	-3.455498E-7	-3.463921E-7	-3.471932E-7	-3.480743E-7	-3.486674E-7	-3.495758E-7
5	3703524283.753516	-25.806475	-20.000000	2.571429E+38	-2.398300E-5	5.423760E-12	-3.453231E-7	-3.461111E-7	-3.467536E-7	-3.475874E-7	-3.483940E-7	-3.491583E-7
6	3703524316.680058	-25.806462	-20.000000	2.571429E+38	-2.398400E-5	5.423600E-12	-3.450134E-7	-3.458590E-7	-3.467008E-7	-3.474600E-7	-3.480943E-7	-3.490458E-7
7	3703524350.112793	-25.806465	-20.000000	2.571429E+38	-2.398500E-5	5.424370E-12	-3.442759E-7	-3.451110E-7	-3.458916E-7	-3.466204E-7	-3.474875E-7	-3.482118E-7
8	3703524382.898969	-25.806476	-20.000000	2.571429E+38	-2.396800E-5	5.424640E-12	-3.437953E-7	-3.446412E-7	-3.455428E-7	-3.462537E-7	-3.470593E-7	-3.478212E-7
9	3703524416.206110	-25.806478	-20.000000	2.571429E+38	-2.396600E-5	5.423550E-12	-3.434730E-7	-3.443091E-7	-3.449474E-7	-3.458263E-7	-3.466529E-7	-3.473992E-7
10	3703524449.102299	-25.806479	-20.000000	2.571429E+38	-2.396700E-5	5.424520E-12	-3.433243E-7	-3.439737E-7	-3.448541E-7	-3.454968E-7	-3.464544E-7	-3.471151E-7
11	3703524482.006997	-25.806459	-20.000000	2.571429E+38	-2.396100E-5	5.424600E-12	-3.427861E-7	-3.436527E-7	-3.444581E-7	-3.453163E-7	-3.462212E-7	-3.471134E-7
12	3703524515.235771	-25.806470	-20.000000	2.571429E+38	-2.396200E-5	5.423520E-12	-3.428109E-7	-3.434115E-7	-3.442448E-7	-3.449671E-7	-3.458924E-7	-3.465491E-7
13	3703524548.015531	-25.806465	-20.000000	2.571429E+38	-2.397100E-5	5.423850E-12	-3.422099E-7	-3.431540E-7	-3.439642E-7	-3.448307E-7	-3.456474E-7	-3.463324E-7
14	3703524581.315419	-25.806474	-20.000000	2.571429E+38	-2.395700E-5	5.424520E-12	-3.418400E-7	-3.426562E-7	-3.434292E-7	-3.441731E-7	-3.450755E-7	-3.458812E-7
15	3703524614.057491	-25.806478	-20.000000	2.571429E+38	-2.394800E-5	5.423890E-12	-3.413727E-7	-3.423172E-7	-3.430496E-7	-3.440239E-7	-3.448721E-7	-3.454445E-7
16	3703524647.417262	-25.806470	-20.000000	2.571429E+38	-2.391800E-5	5.423770E-12	-3.410859E-7	-3.418432E-7	-3.426316E-7	-3.434102E-7	-3.443373E-7	-3.451036E-7
17	3703524680.161275	-25.806472	-20.000000	2.571429E+38	-2.394600E-5	5.423700E-12	-3.406481E-7	-3.414448E-7	-3.422984E-7	-3.430158E-7	-3.438555E-7	-3.446105E-7
18	3703524713.464305	-25.806470	-20.000000	2.571429E+38	-2.392100E-5	5.424060E-12	-3.401219E-7	-3.408051E-7	-3.415938E-7	-3.423303E-7	-3.431117E-7	-3.440816E-7
19	3703524746.383556	-25.806474	-20.000000	2.571429E+38	-2.392900E-5	5.423580E-12	-3.396502E-7	-3.405471E-7	-3.413583E-7	-3.421905E-7	-3.430279E-7	-3.438514E-7
20	3703524779.841621	-25.806469	-20.000000	2.571429E+38	-2.394300E-5	5.424020E-12	-3.395710E-7	-3.404519E-7	-3.412585E-7	-3.417636E-7	-3.427685E-7	-3.435387E-7
21	3703524813.292790	-25.806481	-20.000000	2.571429E+38	-2.395100E-5	5.424230E-12	-3.391533E-7	-3.399271E-7	-3.405669E-7	-3.414124E-7	-3.423619E-7	-3.430323E-7
22	3703524846.623238	-25.806481	-20.000000	2.571429E+38	-2.393900E-5	5.424630E-12	-3.389911E-7	-3.396698E-7	-3.403673E-7	-3.413415E-7	-3.422028E-7	-3.428924E-7
23	3703524879.522825	-25.806483	-20.000000	2.571429E+38	-2.393700E-5	5.425770E-12	-3.385910E-7	-3.393824E-7	-3.402295E-7	-3.410483E-7	-3.418587E-7	-3.427036E-7
24	3703524912.777043	-25.806483	-20.000000	2.571429E+38	-2.387400E-5	5.424510E-12	-3.383000E-7	-3.392051E-7	-3.400346E-7	-3.407758E-7	-3.413411E-7	-3.422290E-7
