#Open Capacitance 1000Hz:4.470090E-12
#Open Capacitance 1000000Hz:Not Measured
#38695_002_2-S_HM_XX_Irrad_20min_Single
#Date/Time: 3/10/2022 11:45:49 AM
#Sensor Name: 38695_002_2-S_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated for 24 m at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
1	3729775628.772846	1.214348	-20.000000	25.624873	-1.225700E-5	-5.523553E-11	8.059070E-11	-1.735552E-7	-1.735587E-7	-1.735508E-7	-1.735387E-7	-1.735509E-7	-1.735530E-7	-3.687882E-7	-2.537684E-6
2	3729775645.239941	1.211018	-20.000000	25.617938	-1.224900E-5	-5.483502E-11	8.057010E-11	-1.709745E-7	-1.709809E-7	-1.709791E-7	-1.709826E-7	-1.709793E-7	-1.709800E-7	-3.725933E-7	-2.546606E-6
3	3729775661.299248	1.209220	-20.000000	25.599052	-1.225400E-5	-5.318287E-11	8.055120E-11	-1.695949E-7	-1.695923E-7	-1.695989E-7	-1.696003E-7	-1.695966E-7	-1.695969E-7	-3.727212E-7	-2.541662E-6
4	3729775677.217788	1.206830	-20.000000	25.595982	-1.225100E-5	-5.463476E-11	8.052890E-11	-1.690105E-7	-1.690116E-7	-1.690108E-7	-1.690097E-7	-1.690107E-7	-1.690106E-7	-3.738897E-7	-2.545205E-6
5	3729775693.218249	1.208252	-20.000000	25.587738	-1.225200E-5	-5.258211E-11	8.051920E-11	-1.687337E-7	-1.687309E-7	-1.687307E-7	-1.687297E-7	-1.687313E-7	-1.687308E-7	-3.738186E-7	-2.543799E-6
6	3729775709.376904	1.206097	-20.000000	25.581177	-1.225300E-5	-5.273229E-11	8.051100E-11	-1.685518E-7	-1.685455E-7	-1.685496E-7	-1.685483E-7	-1.685488E-7	-1.685490E-7	-3.742162E-7	-2.544937E-6
7	3729775725.249043	1.213871	-20.000000	25.566057	-1.225200E-5	-5.348328E-11	8.050480E-11	-1.684238E-7	-1.684068E-7	-1.684039E-7	-1.684078E-7	-1.684106E-7	-1.684073E-7	-3.737590E-7	-2.542124E-6
8	3729775741.337373	1.218916	-20.000000	25.552899	-1.224700E-5	-5.548586E-11	8.050500E-11	-1.682201E-7	-1.682155E-7	-1.682106E-7	-1.682071E-7	-1.682133E-7	-1.682130E-7	-3.739592E-7	-2.542274E-6
9	3729775757.362213	1.220729	-20.000000	25.558429	-1.224500E-5	-5.438443E-11	8.050020E-11	-1.680774E-7	-1.680783E-7	-1.680738E-7	-1.680657E-7	-1.680738E-7	-1.680756E-7	-3.740482E-7	-2.542163E-6
10	3729775773.553547	1.203894	-20.000000	25.557855	-1.224200E-5	-5.608661E-11	8.050040E-11	-1.678345E-7	-1.678381E-7	-1.678401E-7	-1.678446E-7	-1.678393E-7	-1.678391E-7	-3.740292E-7	-2.541257E-6
11	3729775789.440035	1.217970	-20.000000	25.563818	-1.224600E-5	-5.153074E-11	8.050120E-11	-1.678278E-7	-1.678371E-7	-1.678415E-7	-1.678460E-7	-1.678381E-7	-1.678393E-7	-3.738961E-7	-2.540611E-6
12	3729775805.471928	1.221975	-20.000000	25.545566	-1.225200E-5	-5.393388E-11	8.050140E-11	-1.678154E-7	-1.678247E-7	-1.678501E-7	-1.678564E-7	-1.678366E-7	-1.678374E-7	-3.733258E-7	-2.537892E-6
13	3729775821.758498	1.226040	-20.000000	25.557992	-1.225200E-5	-5.002884E-11	8.050550E-11	-1.677393E-7	-1.677451E-7	-1.677475E-7	-1.677474E-7	-1.677448E-7	-1.677463E-7	-3.733098E-7	-2.537169E-6
14	3729775837.772822	1.228001	-20.000000	25.542595	-1.224700E-5	-5.193129E-11	8.050400E-11	-1.675777E-7	-1.675754E-7	-1.675768E-7	-1.675749E-7	-1.675762E-7	-1.675761E-7	-3.736478E-7	-2.538190E-6
15	3729775853.672237	1.242751	-20.000000	25.554662	-1.224500E-5	-5.188117E-11	7.089750E-12	-3.753926E-10	-5.038678E-10	-7.527934E-10	-1.025095E-9	-6.642872E-10	-6.283306E-10	-2.003243E-9	-2.532794E-6
16	3729775870.108305	1.225982	-20.000000	25.532865	-1.224400E-5	-4.807633E-11	8.049980E-11	-1.673677E-7	-1.673633E-7	-1.673632E-7	-1.673678E-7	-1.673655E-7	-1.673655E-7	-3.732590E-7	-2.535400E-6
17	3729775886.022428	1.211826	-20.000000	25.520161	-1.224700E-5	-5.248196E-11	8.050400E-11	-1.672030E-7	-1.672032E-7	-1.672030E-7	-1.672084E-7	-1.672044E-7	-1.672031E-7	-3.734992E-7	-2.536122E-6
18	3729775902.109303	1.219832	-20.000000	25.526088	-1.224500E-5	-5.398390E-11	8.050680E-11	-1.670914E-7	-1.670919E-7	-1.670918E-7	-1.670902E-7	-1.670913E-7	-1.670916E-7	-3.741687E-7	-2.538811E-6
19	3729775918.024001	1.211203	-20.000000	25.520956	-1.224700E-5	-5.328302E-11	8.050730E-11	-1.670862E-7	-1.670876E-7	-1.670857E-7	-1.670849E-7	-1.670861E-7	-1.670859E-7	-3.742889E-7	-2.539222E-6
20	3729775933.932358	1.204656	-20.000000	25.504784	-1.224900E-5	-5.398390E-11	8.050600E-11	-1.669570E-7	-1.669578E-7	-1.669559E-7	-1.669518E-7	-1.669556E-7	-1.669564E-7	-3.736157E-7	-2.535499E-6
21	3729775950.182903	1.206041	-20.000000	25.499574	-1.224800E-5	-5.353333E-11	8.050370E-11	-1.666752E-7	-1.666679E-7	-1.666645E-7	-1.666633E-7	-1.666677E-7	-1.666662E-7	-3.737290E-7	-2.535109E-6
22	3729775966.110941	1.208397	-20.000000	25.496740	-1.225100E-5	-5.553591E-11	8.050820E-11	-1.667386E-7	-1.667354E-7	-1.667356E-7	-1.667372E-7	-1.667367E-7	-1.667364E-7	-3.739013E-7	-2.536129E-6
23	3729775981.927689	1.208113	-20.000000	25.486455	-1.224900E-5	-5.278236E-11	8.050260E-11	-1.666348E-7	-1.666269E-7	-1.666223E-7	-1.666233E-7	-1.666268E-7	-1.666251E-7	-3.739851E-7	-2.536006E-6
24	3729775997.997781	1.213723	-20.000000	25.476883	-1.224800E-5	-5.493509E-11	8.050620E-11	-1.664802E-7	-1.664849E-7	-1.664941E-7	-1.664829E-7	-1.664855E-7	-1.664839E-7	-3.746302E-7	-2.538761E-6
25	3729776014.051851	1.215808	-20.000000	25.482590	-1.224200E-5	-5.253201E-11	8.050870E-11	-1.663405E-7	-1.663410E-7	-1.663394E-7	-1.663407E-7	-1.663404E-7	-1.663406E-7	-3.744436E-7	-2.537269E-6
26	3729776030.255875	1.209483	-20.000000	25.481639	-1.224100E-5	-5.408405E-11	8.050400E-11	-1.662743E-7	-1.662807E-7	-1.662853E-7	-1.662954E-7	-1.662839E-7	-1.662830E-7	-3.747646E-7	-2.538685E-6
27	3729776046.238718	1.209596	-20.000000	25.486156	-1.224400E-5	-5.293256E-11	8.050590E-11	-1.662522E-7	-1.662513E-7	-1.662493E-7	-1.662501E-7	-1.662507E-7	-1.662507E-7	-3.747559E-7	-2.538513E-6
28	3729776062.364457	1.217972	-20.000000	25.472364	-1.224400E-5	-4.962832E-11	8.050620E-11	-1.662017E-7	-1.661981E-7	-1.662026E-7	-1.662012E-7	-1.662009E-7	-1.662015E-7	-3.748190E-7	-2.538447E-6
29	3729776078.229053	1.217878	-20.000000	25.460039	-1.224500E-5	-5.483499E-11	8.051090E-11	-1.661153E-7	-1.661144E-7	-1.661125E-7	-1.661034E-7	-1.661114E-7	-1.661135E-7	-3.746052E-7	-2.537051E-6
30	3729776094.406681	1.208786	-20.000000	25.452925	-1.224400E-5	-5.523551E-11	8.050740E-11	-1.660597E-7	-1.660666E-7	-1.660685E-7	-1.660632E-7	-1.660645E-7	-1.660649E-7	-3.754058E-7	-2.540840E-6
31	3729776110.333160	1.209054	-20.000000	25.439390	-1.224200E-5	-5.518547E-11	8.050690E-11	-1.658819E-7	-1.658864E-7	-1.658880E-7	-1.658891E-7	-1.658864E-7	-1.658872E-7	-3.749160E-7	-2.537827E-6
32	3729776126.380713	1.200015	-20.000000	25.434257	-1.223800E-5	-5.163087E-11	8.050740E-11	-1.658435E-7	-1.658368E-7	-1.658377E-7	-1.658380E-7	-1.658390E-7	-1.658378E-7	-3.752009E-7	-2.538997E-6
33	3729776142.737128	1.201803	-20.000000	25.431483	-1.224100E-5	-5.017901E-11	8.050970E-11	-1.657051E-7	-1.657014E-7	-1.657045E-7	-1.657101E-7	-1.657053E-7	-1.657048E-7	-3.741700E-7	-2.533460E-6
34	3729776158.744036	1.206192	-20.000000	25.432434	-1.224200E-5	-5.378361E-11	8.050590E-11	-1.656837E-7	-1.656770E-7	-1.656738E-7	-1.656718E-7	-1.656766E-7	-1.656754E-7	-3.747421E-7	-2.536206E-6
35	3729776174.630490	1.201772	-20.000000	25.431444	-1.224300E-5	-5.378364E-11	8.050610E-11	-1.656000E-7	-1.655964E-7	-1.655935E-7	-1.655925E-7	-1.655956E-7	-1.655949E-7	-3.758674E-7	-2.541303E-6
36	3729776190.560385	1.205740	-20.000000	25.440023	-1.224500E-5	-5.273228E-11	8.051080E-11	-1.653658E-7	-1.653628E-7	-1.653600E-7	-1.653650E-7	-1.653634E-7	-1.653639E-7	-3.750428E-7	-2.536332E-6
37	3729776206.770138	1.207214	-20.000000	25.426945	-1.224200E-5	-5.398390E-11	8.050910E-11	-1.652617E-7	-1.652570E-7	-1.652498E-7	-1.652470E-7	-1.652539E-7	-1.652534E-7	-3.755759E-7	-2.538572E-6
38	3729776222.808450	1.200059	-20.000000	25.414283	-1.224000E-5	-5.608663E-11	8.051400E-11	-1.651776E-7	-1.651788E-7	-1.651748E-7	-1.651734E-7	-1.651761E-7	-1.651762E-7	-3.750081E-7	-2.535369E-6
39	3729776238.725946	1.201124	-20.000000	25.390701	-1.224000E-5	-5.398389E-11	8.051340E-11	-1.650531E-7	-1.650521E-7	-1.650596E-7	-1.650619E-7	-1.650567E-7	-1.650564E-7	-3.751674E-7	-2.535716E-6
40	3729776254.604371	1.206471	-20.000000	25.396904	-1.223800E-5	-5.593639E-11	8.051580E-11	-1.650279E-7	-1.650328E-7	-1.650330E-7	-1.650348E-7	-1.650321E-7	-1.650329E-7	-3.750970E-7	-2.535356E-6
41	3729776270.798985	1.204728	-20.000000	25.406117	-1.223900E-5	-5.498518E-11	8.051440E-11	-1.649142E-7	-1.649137E-7	-1.649138E-7	-1.649165E-7	-1.649145E-7	-1.649140E-7	-3.764132E-7	-2.541438E-6
42	3729776286.882683	1.197905	-20.000000	25.399896	-1.224100E-5	-5.418412E-11	8.051700E-11	-1.648738E-7	-1.648690E-7	-1.648642E-7	-1.648624E-7	-1.648673E-7	-1.648666E-7	-3.750724E-7	-2.534548E-6
43	3729776302.713049	1.200279	-20.000000	25.392662	-1.223800E-5	-5.608660E-11	8.051910E-11	-1.647418E-7	-1.647424E-7	-1.647435E-7	-1.647472E-7	-1.647437E-7	-1.647429E-7	-3.760013E-7	-2.538674E-6
44	3729776318.752491	1.198474	-20.000000	25.390561	-1.223600E-5	-5.303262E-11	8.052360E-11	-1.647092E-7	-1.647006E-7	-1.647067E-7	-1.647112E-7	-1.647069E-7	-1.647079E-7	-3.763408E-7	-2.540252E-6
45	3729776334.836098	1.208059	-20.000000	25.392286	-1.223400E-5	-4.947807E-11	8.052070E-11	-1.646362E-7	-1.646376E-7	-1.646456E-7	-1.646432E-7	-1.646406E-7	-1.646404E-7	-3.770400E-7	-2.543458E-6
46	3729776350.872972	1.208375	-20.000000	25.375442	-1.223300E-5	-5.518543E-11	8.052670E-11	-1.644448E-7	-1.644334E-7	-1.644266E-7	-1.644292E-7	-1.644335E-7	-1.644313E-7	-3.765413E-7	-2.540076E-6
47	3729776366.893122	1.211041	-20.000000	25.374688	-1.223700E-5	-5.218156E-11	8.052670E-11	-1.643255E-7	-1.643197E-7	-1.643149E-7	-1.643104E-7	-1.643176E-7	-1.643173E-7	-3.765231E-7	-2.539475E-6
48	3729776383.049424	1.204627	-20.000000	25.372886	-1.223400E-5	-5.163085E-11	8.052850E-11	-1.644301E-7	-1.644219E-7	-1.644218E-7	-1.644218E-7	-1.644239E-7	-1.644218E-7	-3.770116E-7	-2.542334E-6
49	3729776399.041479	1.198188	-20.000000	25.359925	-1.223100E-5	-4.987863E-11	8.052630E-11	-1.644416E-7	-1.644329E-7	-1.644326E-7	-1.644343E-7	-1.644353E-7	-1.644336E-7	-3.771937E-7	-2.543421E-6
50	3729776415.278676	1.194554	-20.000000	25.352592	-1.223000E-5	-5.062958E-11	8.052960E-11	-1.642508E-7	-1.642568E-7	-1.642582E-7	-1.642511E-7	-1.642542E-7	-1.642539E-7	-3.771664E-7	-2.542548E-6
51	3729776431.202718	1.195734	-20.000000	25.349304	-1.222700E-5	-5.323297E-11	8.053440E-11	-1.642364E-7	-1.642403E-7	-1.642443E-7	-1.642417E-7	-1.642407E-7	-1.642410E-7	-3.771341E-7	-2.542283E-6
52	3729776447.162773	1.196703	-20.000000	25.331727	-1.223000E-5	-5.313279E-11	8.053230E-11	-1.641383E-7	-1.641386E-7	-1.641348E-7	-1.641339E-7	-1.641364E-7	-1.641365E-7	-3.781069E-7	-2.546235E-6
53	3729776463.421002	1.192607	-20.000000	25.332756	-1.223400E-5	-5.318285E-11	8.053780E-11	-1.639202E-7	-1.639135E-7	-1.639075E-7	-1.639013E-7	-1.639106E-7	-1.639105E-7	-3.784687E-7	-2.547720E-6
54	3729776479.476722	1.210389	-20.000000	25.329566	-1.223200E-5	-5.703783E-11	8.053870E-11	-1.638419E-7	-1.638379E-7	-1.638376E-7	-1.638334E-7	-1.638377E-7	-1.638378E-7	-3.788765E-7	-2.549428E-6
55	3729776495.355263	1.206726	-20.000000	25.325306	-1.223000E-5	-5.563600E-11	8.053780E-11	-1.637373E-7	-1.637282E-7	-1.637278E-7	-1.637223E-7	-1.637289E-7	-1.637280E-7	-3.783257E-7	-2.546220E-6
56	3729776511.431808	1.194178	-20.000000	25.315795	-1.222900E-5	-5.548576E-11	8.054550E-11	-1.637278E-7	-1.637268E-7	-1.637311E-7	-1.637310E-7	-1.637292E-7	-1.637294E-7	-3.782871E-7	-2.546055E-6
57	3729776527.553417	1.192366	-20.000000	25.313951	-1.223000E-5	-5.082982E-11	8.053760E-11	-1.640523E-7	-1.640450E-7	-1.640474E-7	-1.640493E-7	-1.640485E-7	-1.640483E-7	-3.786198E-7	-2.548967E-6
58	3729776543.919473	1.193908	-20.000000	25.308481	-1.222400E-5	-5.022907E-11	8.054080E-11	-1.643780E-7	-1.643816E-7	-1.643803E-7	-1.643814E-7	-1.643803E-7	-1.643809E-7	-3.785358E-7	-2.549885E-6
59	3729776559.753468	1.193950	-20.000000	25.295938	-1.222700E-5	-5.508526E-11	8.053860E-11	-1.654788E-7	-1.654715E-7	-1.654701E-7	-1.654749E-7	-1.654738E-7	-1.654732E-7	-3.764856E-7	-2.544041E-6
60	3729776575.815081	1.184600	-20.000000	25.303369	-1.223000E-5	-5.543574E-11	8.053720E-11	-1.678148E-7	-1.678153E-7	-1.678214E-7	-1.678205E-7	-1.678180E-7	-1.678179E-7	-3.729520E-7	-2.535688E-6
#Open Capacitance 1000Hz:4.467720E-12
#Open Capacitance 1000000Hz:Not Measured
#38695_002_2-S_HM_XX_Irrad_20min_Single
#Date/Time: 3/10/2022 12:04:18 PM
#Sensor Name: 38695_002_2-S_HM_XX
#Station: Tesla
#Annealing Status: 20 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated for 24 m at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
15	3729776737.393165	1.187430	-20.000000	25.246553	-1.221500E-5	-5.408402E-11	8.049170E-11	-1.677876E-7	-1.677823E-7	-1.677800E-7	-1.677783E-7	-1.677821E-7	-1.677811E-7	-3.734360E-7	-2.538061E-6
