#Open Capacitance 1000Hz:4.570090E-12
#Open Capacitance 1000000Hz:Not Measured
#34331_042_2-S_HM_XX
#Date/Time: 9/7/2021 6:01:57 PM
#Sensor Name: 34331_042_2-S_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: Diced at Fermilab

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3713896977.030542	1.985411	23.500000	26.237306	-2.410000E-9	-5.733913E-11	4.569120E-12	-2.151351E-11	-2.093187E-11	-2.158056E-11	-2.158690E-11	-2.140321E-11	-2.154704E-11	-2.587424E-6
2	3713896993.663899	1.976341	23.500000	26.240416	-2.410000E-9	-5.658815E-11	4.568170E-12	-2.507082E-11	-2.239057E-11	-2.283585E-11	-2.256680E-11	-2.321601E-11	-2.270132E-11	-2.589304E-6
3	3713897010.504973	1.962621	23.500000	26.223156	-2.400000E-9	-6.014279E-11	4.569500E-12	-2.208268E-11	-2.105924E-11	-2.153560E-11	-2.159468E-11	-2.156805E-11	-2.156514E-11	-2.580819E-6
#Open Capacitance 1000Hz:4.574870E-12
#Open Capacitance 1000000Hz:Not Measured
#34331_042_2-S_HM_XX
#Date/Time: 9/7/2021 6:05:52 PM
#Sensor Name: 34331_042_2-S_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: Diced at Fermilab

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3713897211.877705	1.869956	23.500000	26.261244	-2.400000E-9	-6.049325E-11	7.923190E-11	-2.133340E-11	-2.329913E-11	-2.059782E-11	-2.179115E-11	-2.175538E-11	-2.156228E-11	-2.587716E-6
2	3713897228.775425	1.878814	23.500000	26.257577	-2.400000E-9	-5.753936E-11	7.921830E-11	-2.322429E-11	-2.272586E-11	-2.177070E-11	-2.384437E-11	-2.289131E-11	-2.297508E-11	-2.589484E-6
3	3713897245.849774	1.917779	23.500000	26.271213	-2.400000E-9	-5.909138E-11	7.921780E-11	-2.274529E-11	-2.035535E-11	-2.171040E-11	-2.116086E-11	-2.149297E-11	-2.143563E-11	-2.580836E-6
4	3713897262.748299	1.866100	23.500000	26.269112	-2.400000E-9	-5.793984E-11	7.921930E-11	-2.212951E-11	-2.402592E-11	-2.297530E-11	-2.354283E-11	-2.316839E-11	-2.325906E-11	-2.574686E-6
5	3713897279.560671	1.928107	23.500000	26.278860	-2.400000E-9	-5.798994E-11	7.921270E-11	-2.353812E-11	-2.175578E-11	-2.177950E-11	-2.294217E-11	-2.250389E-11	-2.236083E-11	-2.576335E-6
6	3713897296.611094	1.870278	23.500000	26.285481	-2.400000E-9	-5.708881E-11	7.920620E-11	-2.626478E-11	-2.640400E-11	-2.697174E-11	-2.636312E-11	-2.650091E-11	-2.638356E-11	-2.584228E-6
7	3713897313.624298	1.815474	23.500000	26.269964	-2.390000E-9	-5.468558E-11	7.920380E-11	-2.445977E-11	-2.337723E-11	-2.365426E-11	-2.294872E-11	-2.361000E-11	-2.351574E-11	-2.581610E-6
8	3713897330.553568	1.860905	23.500000	26.275512	-2.390000E-9	-6.199512E-11	7.920280E-11	-2.514709E-11	-2.570522E-11	-2.566985E-11	-2.645594E-11	-2.574453E-11	-2.568754E-11	-2.587180E-6
9	3713897347.376841	1.904380	23.500000	26.294377	-2.400000E-9	-5.723897E-11	7.919940E-11	-2.598204E-11	-2.571442E-11	-2.572280E-11	-2.394619E-11	-2.534136E-11	-2.571861E-11	-2.579263E-6
10	3713897364.230954	1.813458	23.500000	26.299491	-2.390000E-9	-5.758941E-11	7.920140E-11	-2.412917E-11	-2.492996E-11	-2.447079E-11	-2.370842E-11	-2.430958E-11	-2.429998E-11	-2.571366E-6
11	3713897381.028423	1.872626	23.500000	26.292813	-2.390000E-9	-5.924160E-11	7.919790E-11	-2.488991E-11	-2.491832E-11	-2.523419E-11	-2.611186E-11	-2.528857E-11	-2.507626E-11	-2.567610E-6
12	3713897397.870081	1.839030	23.500000	26.292436	-2.380000E-9	-5.743917E-11	7.919840E-11	-2.255720E-11	-2.295484E-11	-2.514423E-11	-2.517060E-11	-2.395672E-11	-2.404954E-11	-2.569295E-6
13	3713897414.635561	1.846732	23.500000	26.299787	-2.390000E-9	-5.518625E-11	7.919170E-11	-2.274365E-11	-2.263755E-11	-2.280928E-11	-2.232822E-11	-2.262967E-11	-2.269060E-11	-2.568270E-6
14	3713897431.475349	1.814114	23.500000	26.314730	-2.390000E-9	-5.834037E-11	7.918760E-11	-2.359414E-11	-2.363932E-11	-2.240142E-11	-2.433401E-11	-2.349222E-11	-2.361673E-11	-2.565308E-6
15	3713897448.274115	1.784141	23.500000	26.306465	-2.400000E-9	-5.518625E-11	7.919130E-11	-2.245886E-11	-2.574201E-11	-2.327438E-11	-2.283361E-11	-2.357721E-11	-2.305399E-11	-2.568255E-6
16	3713897465.083241	1.895763	23.500000	26.307675	-2.390000E-9	-5.778968E-11	7.918460E-11	-2.431418E-11	-2.567925E-11	-2.554288E-11	-2.459918E-11	-2.503387E-11	-2.507103E-11	-2.570240E-6
17	3713897481.855139	1.857433	23.500000	26.315839	-2.390000E-9	-5.934165E-11	7.918620E-11	-2.243514E-11	-2.197453E-11	-2.211949E-11	-2.197025E-11	-2.212485E-11	-2.204701E-11	-2.570397E-6
18	3713897498.638539	1.877202	23.500000	26.315561	-2.390000E-9	-5.673826E-11	7.918150E-11	-2.243638E-11	-2.242575E-11	-2.158323E-11	-2.325578E-11	-2.242528E-11	-2.243107E-11	-2.570032E-6
