Annealing at 60C (min),Neff
0,3.87E+19
10,2.44E+19
20,1.93E+19
30,1.86E+19
40,1.81E+19
50,1.82E+19
60,1.81E+19
70,1.91E+19
80,1.90E+19
90,1.89E+19
100,1.88E+19
110,2.12E+19
120,1.98E+19
