#Open Capacitance 1000Hz:4.134520E-12
#Open Capacitance 100000Hz:3.541740E-12
#34252_004_PSS_HM_XX_-10C
#Date/Time: 6/25/2021 11:58:47 AM
#Sensor Name: 34252_004_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
0	3707481569.612303	9.636762	-7.269370	27.477034	-1.299963E-8	-4.577347E-6	4.876110E-12	3.886370E-12	4.714386E-10	4.667310E-10	4.736378E-10	4.670171E-10	4.697061E-10	4.692278E-10	1.240979E-8
#Open Capacitance 1000Hz:3.933230E-12
#Open Capacitance 100000Hz:3.100520E-12
#34252_004_PSS_HM_XX_-10C
#Date/Time: 6/25/2021 12:00:32 PM
#Sensor Name: 34252_004_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0	IstripNbr_0	IstripNbr_1	IstripNbr_2	IstripNbr_3	IstripNbr_Mean	IstripNbr_Median	I_RBias Nbr_V-5.0	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
10	3707482061.701663	9.277865	-7.938736	27.253997	-1.341358E-7	-3.354329E-10	8.764830E-11	3.917780E-12	3.137115E-11	3.003301E-11	3.137562E-11	3.023638E-11	3.075404E-11	3.080377E-11	-2.286885E-6	4.858497E-11	4.760870E-11	4.894015E-11	4.836923E-11	4.837576E-11	4.847710E-11	-2.282441E-6	4.960790E-11	5.141694E-11	5.130751E-11
11	3707482101.428617	9.294577	-7.974148	27.301774	-4.667961E-8	-3.324297E-10	8.764970E-11	3.918320E-12	4.173389E-11	4.056826E-11	4.005863E-11	4.093562E-11	4.082410E-11	4.075194E-11	-2.284525E-6	4.306677E-11	4.376699E-11	4.236857E-11	4.234482E-11	4.288679E-11	4.271767E-11	-2.282714E-6	4.388431E-11	4.115950E-11	4.109313E-11
12	3707482139.757066	9.247048	-7.998285	27.320899	-2.306873E-8	-3.232386E-10	8.765850E-11	3.917610E-12	3.315886E-11	3.297192E-11	3.167377E-11	3.292545E-11	3.268250E-11	3.294868E-11	-2.284665E-6	5.837109E-11	5.746039E-11	5.729455E-11	5.922455E-11	5.808765E-11	5.791574E-11	-2.280630E-6	5.684581E-11	5.803719E-11	5.508022E-11
13	3707482179.436338	9.227870	-8.000048	27.273000	-1.086461E-8	-3.274246E-10	8.766360E-11	3.917500E-12	4.452728E-11	4.543759E-11	4.509619E-11	4.508909E-11	4.503754E-11	4.509264E-11	-2.282571E-6	4.601724E-11	4.686422E-11	4.615163E-11	4.527339E-11	4.607662E-11	4.608444E-11	-2.281444E-6	4.675483E-11	4.481206E-11	4.421837E-11
14	3707482217.773319	9.205263	-8.052126	27.251917	-1.711937E-8	-3.329304E-10	8.767210E-11	3.919910E-12	3.705718E-11	3.737320E-11	3.698148E-11	3.749456E-11	3.722661E-11	3.721519E-11	-2.283489E-6	4.971525E-11	5.023789E-11	4.770735E-11	4.933429E-11	4.924870E-11	4.952477E-11	-2.281383E-6	4.887784E-11	4.829331E-11	4.752061E-11
15	3707482257.435359	9.201687	-8.088133	27.240719	-1.616612E-8	-3.302459E-10	8.767590E-11	3.917940E-12	2.805775E-11	2.841963E-11	2.865121E-11	2.908333E-11	2.855298E-11	2.853542E-11	-2.283514E-6	3.173506E-11	3.296115E-11	3.182517E-11	3.216168E-11	3.217076E-11	3.199343E-11	-2.280607E-6	3.048277E-11	3.023211E-11	2.882800E-11
16	3707482296.437358	9.187220	-8.139954	27.240501	-1.382354E-7	-3.368890E-10	8.769150E-11	3.916890E-12	2.546996E-11	2.629967E-11	2.648539E-11	2.773199E-11	2.649675E-11	2.639253E-11	-2.282483E-6	3.262546E-11	3.318482E-11	3.244766E-11	3.272592E-11	3.274597E-11	3.267569E-11	-2.282633E-6	3.463501E-11	3.689157E-11	3.789521E-11
17	3707482334.715303	9.160048	-8.135931	27.199086	-1.829673E-7	-3.340224E-10	8.770220E-11	3.918420E-12	3.239630E-11	3.149881E-11	3.065306E-11	3.178518E-11	3.158334E-11	3.164200E-11	-2.284621E-6	3.957638E-11	3.928066E-11	3.880919E-11	3.992061E-11	3.939671E-11	3.942852E-11	-2.280866E-6	3.933282E-11	4.165778E-11	4.006168E-11
18	3707482374.433909	9.167458	-8.148732	27.199738	-4.884424E-8	-3.357969E-10	8.768960E-11	3.917030E-12	3.085845E-11	3.414932E-11	3.023068E-11	3.185744E-11	3.177397E-11	3.135795E-11	-2.283025E-6	3.013185E-11	3.295061E-11	3.257168E-11	3.103403E-11	3.167204E-11	3.180285E-11	-2.278048E-6	2.798712E-11	2.909632E-11	2.924102E-11
19	3707482413.457683	9.145835	-8.188266	27.203366	-3.502546E-8	-3.388456E-10	8.769360E-11	3.917810E-12	2.566195E-11	2.517139E-11	2.616247E-11	2.757225E-11	2.614201E-11	2.591221E-11	-2.280125E-6	3.986925E-11	4.177570E-11	4.058003E-11	4.111506E-11	4.083501E-11	4.084755E-11	-2.281622E-6	3.933242E-11	3.683455E-11	3.818853E-11
20	3707482452.434098	9.146362	-8.219260	27.195499	-7.841778E-8	-3.250131E-10	8.770250E-11	3.917740E-12	3.177444E-11	3.164108E-11	3.158121E-11	3.140586E-11	3.160065E-11	3.161115E-11	-2.283430E-6	3.844364E-11	4.142396E-11	3.906755E-11	3.953842E-11	3.961839E-11	3.930299E-11	-2.280698E-6	3.802634E-11	3.606022E-11	3.661474E-11
21	3707482490.740789	9.132445	-8.215296	27.158540	-1.456320E-7	-3.340224E-10	8.770340E-11	3.918430E-12	2.379408E-11	2.426355E-11	2.300759E-11	2.230757E-11	2.334320E-11	2.340084E-11	-2.282714E-6	2.686412E-11	2.708698E-11	2.613751E-11	2.852193E-11	2.715263E-11	2.697555E-11	-2.281627E-6	2.719577E-11	2.729075E-11	2.693860E-11
22	3707482530.436395	9.118505	-8.231486	27.203504	-1.202109E-7	-3.337493E-10	8.771110E-11	3.917490E-12	2.267879E-11	2.378596E-11	2.236318E-11	2.255681E-11	2.284619E-11	2.261780E-11	-2.283633E-6	2.988321E-11	3.029118E-11	2.766095E-11	2.874093E-11	2.914407E-11	2.931207E-11	-2.282361E-6	3.205229E-11	3.016980E-11	2.879491E-11
23	3707482568.740538	9.094894	-8.251283	27.186758	-5.496115E-8	-3.280163E-10	8.771570E-11	3.918810E-12	2.379996E-11	2.478678E-11	2.348679E-11	2.524567E-11	2.432980E-11	2.429337E-11	-2.284487E-6	2.795728E-11	2.664045E-11	2.761732E-11	2.646325E-11	2.716958E-11	2.712889E-11	-2.277507E-6	2.974113E-11	2.906181E-11	2.809326E-11
24	3707482608.433829	9.094556	-8.278591	27.162483	-1.811549E-8	-3.390729E-10	8.772690E-11	3.916710E-12	2.012570E-11	2.001772E-11	1.922961E-11	1.790913E-11	1.932054E-11	1.962367E-11	-2.279502E-6	3.291630E-11	3.339022E-11	3.356539E-11	3.142270E-11	3.282365E-11	3.315326E-11	-2.278080E-6	3.380590E-11	3.475070E-11	3.328287E-11
25	3707482646.741563	9.090860	-8.284298	27.166904	-1.089250E-7	-3.274702E-10	8.772250E-11	3.916510E-12	2.660756E-11	2.714420E-11	2.762096E-11	2.715028E-11	2.713075E-11	2.714724E-11	-2.280268E-6	3.977102E-11	3.955810E-11	4.069794E-11	4.050553E-11	4.013315E-11	4.013828E-11	-2.276114E-6	3.956907E-11	4.080693E-11	3.838476E-11
26	3707482686.431940	9.078301	-8.297218	27.169875	-1.098299E-7	-3.301092E-10	8.773490E-11	3.916570E-12	3.064614E-11	3.296135E-11	3.101817E-11	3.042369E-11	3.126234E-11	3.083215E-11	-2.278265E-6	3.176428E-11	3.086920E-11	3.022561E-11	3.148865E-11	3.108694E-11	3.117893E-11	-2.274425E-6	3.197698E-11	3.408945E-11	3.291346E-11
27	3707482724.773238	9.084738	-8.311248	27.168429	-7.568870E-8	-3.286077E-10	8.774310E-11	3.917270E-12	2.198444E-11	2.081374E-11	2.028096E-11	1.909180E-11	2.054273E-11	2.054735E-11	-2.276523E-6	2.920510E-11	2.689455E-11	2.779612E-11	2.643036E-11	2.758153E-11	2.734533E-11	-2.277044E-6	2.772954E-11	2.632646E-11	2.613911E-11
28	3707482764.432579	9.053148	-8.317847	27.155270	-1.638471E-7	-3.361154E-10	8.774870E-11	3.917770E-12	2.136905E-11	2.247175E-11	2.315716E-11	2.251153E-11	2.237737E-11	2.249164E-11	-2.279193E-6	3.055744E-11	2.955846E-11	3.021078E-11	3.026965E-11	3.014908E-11	3.024022E-11	-2.274441E-6	3.002041E-11	3.231492E-11	3.094065E-11
29	3707482802.715430	9.047837	-8.351912	27.154101	-7.753492E-8	-3.347959E-10	8.775660E-11	3.917340E-12	2.216690E-11	2.299683E-11	2.263717E-11	2.264854E-11	2.261236E-11	2.264285E-11	-2.276428E-6	3.196582E-11	3.254793E-11	3.248724E-11	3.156455E-11	3.214138E-11	3.222653E-11	-2.276939E-6	3.186921E-11	3.144501E-11	3.129746E-11
30	3707482842.437489	9.028441	-8.366636	27.155706	-7.704143E-8	-3.322933E-10	8.776240E-11	3.917420E-12	2.445613E-11	2.497877E-11	2.559111E-11	2.662035E-11	2.541159E-11	2.528494E-11	-2.279057E-6	3.782074E-11	3.686557E-11	3.742210E-11	3.721732E-11	3.733143E-11	3.731971E-11	-2.274674E-6	3.683047E-11	3.396300E-11	3.454467E-11
31	3707482880.765806	9.020815	-8.376366	27.164743	-6.451265E-8	-3.296085E-10	8.776770E-11	3.916450E-12	2.679185E-11	2.590734E-11	2.608270E-11	2.553895E-11	2.608021E-11	2.599502E-11	-2.276744E-6	3.688181E-11	3.584324E-11	3.541540E-11	3.434718E-11	3.562191E-11	3.562932E-11	-2.275015E-6	3.491549E-11	3.457309E-11	3.342269E-11
32	3707482920.437520	9.027345	-8.405595	27.092512	-3.017865E-8	-3.312013E-10	8.777200E-11	3.917150E-12	2.371492E-11	2.215310E-11	2.280218E-11	2.346973E-11	2.303498E-11	2.313596E-11	-2.276995E-6	2.754038E-11	2.757266E-11	2.753875E-11	2.599035E-11	2.716054E-11	2.753957E-11	-2.275558E-6	2.872042E-11	2.987630E-11	2.883874E-11
33	3707482958.732945	9.004618	-8.405397	27.143361	-5.179533E-8	-3.322933E-10	8.777790E-11	3.917350E-12	2.192192E-11	2.277823E-11	2.359963E-11	2.347764E-11	2.294436E-11	2.312793E-11	-2.277715E-6	2.780220E-11	2.884239E-11	2.924974E-11	2.713587E-11	2.825755E-11	2.832229E-11	-2.275837E-6	2.691524E-11	2.767068E-11	2.744721E-11
34	3707482998.433479	9.016401	-8.452125	27.122930	-5.840915E-8	-3.309283E-10	8.777900E-11	3.917720E-12	1.936234E-11	2.066253E-11	1.902704E-11	2.094039E-11	1.999807E-11	2.001244E-11	-2.277890E-6	2.688012E-11	2.864145E-11	2.678840E-11	2.789454E-11	2.755113E-11	2.738733E-11	-2.274287E-6	2.787547E-11	2.497491E-11	2.702890E-11
35	3707483036.754468	9.006230	-8.418179	27.125584	-5.368343E-8	-3.333398E-10	8.778470E-11	3.918130E-12	2.331648E-11	2.417380E-11	2.275507E-11	2.346282E-11	2.342704E-11	2.338965E-11	-2.276455E-6	2.629782E-11	2.636886E-11	2.572993E-11	2.835751E-11	2.668853E-11	2.633334E-11	-2.273233E-6	2.755194E-11	2.629397E-11	2.623470E-11
36	3707483076.435557	8.985391	-8.460804	27.133631	-5.369214E-8	-3.315653E-10	8.778290E-11	3.916920E-12	2.178735E-11	2.317826E-11	2.128582E-11	2.185311E-11	2.202613E-11	2.182023E-11	-2.275244E-6	2.570822E-11	2.608553E-11	2.660613E-11	2.793860E-11	2.658462E-11	2.634583E-11	-2.272369E-6	2.745208E-11	2.933459E-11	2.767718E-11
37	3707483114.711590	8.984037	-8.469127	27.117977	-6.804047E-8	-3.336129E-10	8.778540E-11	3.917150E-12	2.455436E-11	2.509546E-11	2.490022E-11	2.636906E-11	2.522977E-11	2.499784E-11	-2.274594E-6	3.381481E-11	3.519680E-11	3.471800E-11	3.540138E-11	3.478275E-11	3.495740E-11	-2.273608E-6	3.386615E-11	3.340401E-11	3.382861E-11
38	3707483154.437598	8.976585	-8.507492	27.095701	-6.016769E-8	-3.418031E-10	8.779100E-11	3.918330E-12	2.477762E-11	2.443664E-11	2.445775E-11	2.381639E-11	2.437210E-11	2.444719E-11	-2.275510E-6	3.638129E-11	3.542128E-11	3.680711E-11	3.633075E-11	3.623511E-11	3.635602E-11	-2.270821E-6	3.854103E-11	3.867438E-11	3.784466E-11
39	3707483192.750170	8.981895	-8.492511	27.078519	-6.001677E-8	-3.283800E-10	8.779260E-11	3.918060E-12	2.233049E-11	2.163107E-11	2.203416E-11	2.079811E-11	2.169846E-11	2.183262E-11	-2.272887E-6	2.152594E-11	2.153588E-11	2.130410E-11	2.211920E-11	2.162128E-11	2.153091E-11	-2.269892E-6	2.247906E-11	2.212367E-11	2.036458E-11
40	3707483232.470914	8.974416	-8.518709	27.092413	-7.479540E-8	-3.297908E-10	8.779080E-11	3.919230E-12	2.319734E-11	2.199701E-11	2.342812E-11	2.314235E-11	2.294121E-11	2.316985E-11	-2.272035E-6	2.637820E-11	2.526596E-11	2.477824E-11	2.287565E-11	2.482451E-11	2.502210E-11	-2.271513E-6	2.203497E-11	2.005972E-11	1.859858E-11
41	3707483271.456359	8.945206	-8.547244	27.051569	-4.101564E-8	-3.357059E-10	8.779590E-11	3.916360E-12	1.889106E-11	1.809260E-11	1.683117E-11	1.739277E-11	1.780190E-11	1.774269E-11	-2.273611E-6	2.699053E-11	2.568711E-11	2.610034E-11	2.589210E-11	2.616752E-11	2.599622E-11	-2.271143E-6	2.515453E-11	2.362317E-11	2.310297E-11
42	3707483310.441005	8.944429	-8.570985	27.075668	-3.199875E-8	-3.341134E-10	8.779510E-11	3.916250E-12	2.304025E-11	2.075285E-11	2.072362E-11	2.164670E-11	2.154085E-11	2.119978E-11	-2.273126E-6	2.284297E-11	2.266192E-11	2.140679E-11	2.125173E-11	2.204085E-11	2.203436E-11	-2.273416E-6	2.235524E-11	2.215309E-11	2.099377E-11
43	3707483348.743430	8.935500	-8.595894	27.044831	-3.970734E-8	-3.348414E-10	8.779880E-11	3.917090E-12	1.704753E-11	1.720077E-11	1.849446E-11	1.986345E-11	1.815155E-11	1.784762E-11	-2.275402E-6	2.770964E-11	2.794224E-11	2.823573E-11	2.835487E-11	2.806062E-11	2.808898E-11	-2.273296E-6	3.176326E-11	3.133216E-11	3.117688E-11
44	3707483388.433301	8.940507	-8.612837	27.044317	-3.655789E-8	-3.240576E-10	8.779670E-11	3.919180E-12	2.308146E-11	2.342913E-11	2.198241E-11	1.983281E-11	2.208145E-11	2.253193E-11	-2.275364E-6	2.876019E-11	3.063213E-11	2.836340E-11	2.928465E-11	2.926009E-11	2.902242E-11	-2.273134E-6	2.985640E-11	2.867657E-11	3.114136E-11
45	3707483426.785826	8.921233	-8.639015	27.015603	-4.385757E-8	-3.274704E-10	8.780190E-11	3.917260E-12	2.005161E-11	2.095013E-11	1.829921E-11	1.980683E-11	1.977694E-11	1.992922E-11	-2.275141E-6	2.116446E-11	2.077416E-11	2.199357E-11	2.203680E-11	2.149225E-11	2.157901E-11	-2.273942E-6	2.249571E-11	2.079933E-11	2.200331E-11
46	3707483466.435967	8.905425	-8.651638	27.021527	-3.809456E-8	-3.349324E-10	8.780010E-11	3.917470E-12	1.993024E-11	1.993004E-11	1.835036E-11	2.004552E-11	1.956404E-11	1.993014E-11	-2.276043E-6	2.339321E-11	2.229274E-11	2.415716E-11	2.640885E-11	2.406299E-11	2.377519E-11	-2.275291E-6	2.404209E-11	2.341045E-11	2.441778E-11
47	3707483504.770498	8.907536	-8.651718	27.012769	-5.036294E-8	-3.328848E-10	8.779970E-11	3.918230E-12	1.856774E-11	2.002299E-11	1.914111E-11	1.736741E-11	1.877481E-11	1.885442E-11	-2.277407E-6	2.223347E-11	2.072544E-11	2.258074E-11	2.169664E-11	2.180907E-11	2.196505E-11	-2.274148E-6	2.352311E-11	2.214580E-11	1.969602E-11
48	3707483544.438202	8.885724	-8.686912	27.024104	-6.357266E-8	-3.387546E-10	8.780140E-11	3.917800E-12	1.919064E-11	2.145389E-11	1.994079E-11	2.147358E-11	2.051473E-11	2.069734E-11	-2.276248E-6	2.136824E-11	2.198992E-11	2.045855E-11	2.211738E-11	2.148352E-11	2.167908E-11	-2.273189E-6	2.276909E-11	2.237960E-11	2.187057E-11
49	3707483582.708753	8.898157	-8.686892	26.975792	-7.580345E-8	-3.303821E-10	8.780420E-11	3.917200E-12	1.811330E-11	1.945652E-11	1.833331E-11	1.896960E-11	1.871818E-11	1.865146E-11	-2.275315E-6	2.933681E-11	2.868001E-11	2.861873E-11	2.607862E-11	2.817854E-11	2.864937E-11	-2.272143E-6	2.696132E-11	2.640905E-11	2.509161E-11
50	3707483622.435149	8.895573	-8.696345	26.984590	-4.517163E-8	-3.310646E-10	8.779540E-11	3.918460E-12	2.321400E-11	2.248393E-11	2.238976E-11	2.269380E-11	2.269537E-11	2.258887E-11	-2.274191E-6	2.691221E-11	2.571593E-11	2.635000E-11	2.747016E-11	2.661208E-11	2.663111E-11	-2.268996E-6	2.614296E-11	2.525256E-11	2.268385E-11
51	3707483660.716202	8.877541	-8.717192	26.948623	-2.594104E-8	-3.312923E-10	8.781050E-11	3.917510E-12	1.876644E-11	1.771975E-11	1.909159E-11	1.858113E-11	1.853973E-11	1.867378E-11	-2.271118E-6	1.770128E-11	1.961706E-11	1.930896E-11	2.157789E-11	1.955130E-11	1.946301E-11	-2.267375E-6	1.793571E-11	1.577211E-11	1.753486E-11
52	3707483700.442925	8.885063	-8.763761	26.930153	-1.579466E-8	-3.343864E-10	8.782300E-11	3.915820E-12	1.367366E-11	1.635381E-11	1.538343E-11	1.388130E-11	1.482305E-11	1.463237E-11	-2.269342E-6	1.616769E-11	1.607108E-11	1.793247E-11	1.619144E-11	1.659067E-11	1.617956E-11	-2.267309E-6	1.554357E-11	1.517965E-11	1.517966E-11
53	3707483738.761063	8.880037	-8.759421	26.930410	-1.324838E-8	-3.268787E-10	8.782500E-11	3.917690E-12	1.628743E-11	1.572522E-11	1.638831E-11	1.615855E-11	1.613988E-11	1.622299E-11	-2.269445E-6	2.104046E-11	2.086043E-11	2.117015E-11	2.315960E-11	2.155766E-11	2.110530E-11	-2.268361E-6	2.018293E-11	1.962194E-11	1.891969E-11
54	3707483778.436226	8.843290	-8.809438	26.952249	-1.558089E-8	-3.278342E-10	8.783260E-11	3.915050E-12	1.713562E-11	1.745834E-11	1.771813E-11	1.643255E-11	1.718616E-11	1.729698E-11	-2.270370E-6	1.814009E-11	1.904734E-11	1.789856E-11	1.968039E-11	1.869159E-11	1.859371E-11	-2.269064E-6	2.081516E-11	1.959717E-11	1.994282E-11
55	3707483816.807258	8.840986	-8.814234	26.929460	-2.941879E-8	-3.443056E-10	8.783560E-11	3.915620E-12	1.627526E-11	1.689267E-11	1.597061E-11	1.726308E-11	1.660041E-11	1.658397E-11	-2.271077E-6	2.067248E-11	1.968627E-11	1.853709E-11	2.013056E-11	1.975660E-11	1.990842E-11	-2.270332E-6	2.041776E-11	1.819632E-11	1.536679E-11
56	3707483856.436839	8.846670	-8.820377	26.922683	-2.867976E-8	-3.292448E-10	8.784180E-11	3.912380E-12	1.690485E-11	1.451861E-11	1.326104E-11	1.638546E-11	1.526749E-11	1.545204E-11	-2.272364E-6	2.148474E-11	2.235972E-11	2.290610E-11	2.230573E-11	2.226407E-11	2.233272E-11	-2.268639E-6	2.334349E-11	2.074818E-11	1.832418E-11
57	3707483894.733436	8.831492	-8.835199	26.923039	-2.927147E-8	-3.372076E-10	8.784970E-11	3.905050E-12	1.551698E-11	1.542139E-11	1.434710E-11	1.561461E-11	1.522502E-11	1.546919E-11	-2.270733E-6	-1.469880E-12	-2.583361E-12	-2.267601E-12	-1.750737E-12	-2.017895E-12	-2.009169E-12	-2.270489E-6	-2.085775E-12	-1.686611E-12	-3.732356E-12
58	3707483934.441416	8.827708	-8.853470	26.900351	-2.701793E-8	-3.329302E-10	8.785670E-11	3.870850E-12	-4.109399E-12	-5.687592E-12	-3.528612E-12	-3.099820E-12	-4.106356E-12	-3.819005E-12	-2.272597E-6	1.920565E-11	1.965765E-11	2.066821E-11	1.886244E-11	1.959849E-11	1.943165E-11	-2.272123E-6	2.257994E-11	2.010295E-11	1.984032E-11
