#Open Capacitance 1000Hz:4.134520E-12
#Open Capacitance 100000Hz:3.541740E-12
#34252_004_PSS_HM_XX_-10C
#Date/Time: 6/25/2021 11:58:47 AM
#Sensor Name: 34252_004_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
0	3707481569.612303	9.636762	-7.269370	27.477034	-1.299963E-8	-4.577347E-6	4.876110E-12	3.886370E-12	4.714386E-10	4.667310E-10	4.736378E-10	4.670171E-10	4.697061E-10	4.692278E-10	1.240979E-8
#Open Capacitance 1000Hz:3.933230E-12
#Open Capacitance 100000Hz:3.100520E-12
#34252_004_PSS_HM_XX_-10C
#Date/Time: 6/25/2021 12:00:32 PM
#Sensor Name: 34252_004_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0	IstripNbr_0	IstripNbr_1	IstripNbr_2	IstripNbr_3	IstripNbr_Mean	IstripNbr_Median	I_RBias Nbr_V-5.0	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
0	3707481671.584759	9.482532	-7.508696	27.400382	-5.633252E-7	-3.316107E-10	8.752490E-11	3.866260E-12	5.407594E-11	5.522575E-11	5.578756E-11	5.504976E-11	5.503475E-11	5.513775E-11	-2.287548E-6	5.407594E-11	5.522575E-11	5.578756E-11	5.504976E-11	5.503475E-11	5.513775E-11	-2.287839E-6	3.572696E-11	3.427192E-11	3.503403E-11
1	3707481709.956794	9.451576	-7.582116	27.405099	-1.111802E-8	-3.315654E-10	8.759610E-11	3.904180E-12	3.979355E-11	3.967907E-11	4.075723E-11	4.116336E-11	4.034830E-11	4.027539E-11	-2.289614E-6	4.380189E-11	4.317208E-11	4.314652E-11	4.459407E-11	4.367864E-11	4.348699E-11	-2.289557E-6	4.371075E-11	4.255326E-11	4.345929E-11
2	3707481750.426487	9.418409	-7.619926	27.405514	-1.159666E-8	-3.300639E-10	8.760650E-11	3.914050E-12	3.655952E-11	3.647550E-11	3.766568E-11	3.720739E-11	3.697702E-11	3.688346E-11	-2.291277E-6	5.000591E-11	5.173336E-11	5.000287E-11	5.029452E-11	5.050917E-11	5.015022E-11	-2.288297E-6	4.751798E-11	4.707349E-11	4.957890E-11
3	3707481788.773782	9.405065	-7.694516	27.387481	-1.629442E-8	-3.362064E-10	8.760690E-11	3.917090E-12	3.773307E-11	3.612681E-11	3.549722E-11	3.817026E-11	3.688184E-11	3.692994E-11	-2.290169E-6	4.637204E-11	4.636717E-11	4.704995E-11	4.615204E-11	4.648530E-11	4.636961E-11	-2.290397E-6	4.689021E-11	4.675017E-11	4.459530E-11
4	3707481828.433661	9.374255	-7.734843	27.340951	-1.445776E-8	-3.325208E-10	8.761440E-11	3.916830E-12	4.416562E-11	4.346640E-11	4.178788E-11	4.595414E-11	4.384351E-11	4.381601E-11	-2.292243E-6	5.008387E-11	5.029415E-11	5.082286E-11	5.099072E-11	5.054790E-11	5.055851E-11	-2.287222E-6	5.016200E-11	4.951354E-11	4.620035E-11
5	3707481867.456571	9.357043	-7.792331	27.328112	-3.466250E-8	-3.317019E-10	8.761660E-11	3.918870E-12	3.442374E-11	3.414872E-11	3.471782E-11	3.516131E-11	3.461290E-11	3.457078E-11	-2.288830E-6	4.896959E-11	4.721254E-11	4.678183E-11	4.706557E-11	4.750738E-11	4.713905E-11	-2.285676E-6	4.760831E-11	4.757990E-11	4.764889E-11
6	3707481905.731106	9.346087	-7.815159	27.338138	-2.438111E-8	-3.293358E-10	8.762530E-11	3.917600E-12	4.233063E-11	4.290561E-11	4.097482E-11	4.156260E-11	4.194341E-11	4.194661E-11	-2.287638E-6	4.941106E-11	5.070798E-11	4.926633E-11	4.988212E-11	4.981687E-11	4.964659E-11	-2.286345E-6	4.943459E-11	4.807696E-11	4.733877E-11
7	3707481945.428903	9.325684	-7.858221	27.361442	-2.164720E-7	-3.303366E-10	8.762600E-11	3.916350E-12	3.762834E-11	3.794496E-11	3.969087E-11	3.838945E-11	3.841340E-11	3.816721E-11	-2.288211E-6	5.618600E-11	5.635831E-11	5.825582E-11	5.761060E-11	5.710268E-11	5.698445E-11	-2.285678E-6	5.845047E-11	5.689717E-11	5.634024E-11
8	3707481983.730319	9.318708	-7.869001	27.308275	-1.773148E-7	-3.385724E-10	8.763670E-11	3.917430E-12	4.072903E-11	4.020863E-11	4.195595E-11	4.104890E-11	4.098563E-11	4.088897E-11	-2.287622E-6	4.751798E-11	4.727321E-11	4.781452E-11	4.811571E-11	4.768036E-11	4.766625E-11	-2.286810E-6	4.589326E-11	4.480354E-11	4.393222E-11
9	3707482023.430296	9.267717	-7.906890	27.296899	-1.352845E-7	-3.334764E-10	8.764170E-11	3.918030E-12	3.161228E-11	3.151749E-11	3.145436E-11	3.073100E-11	3.132878E-11	3.148592E-11	-2.288683E-6	3.888367E-11	3.993787E-11	4.090256E-11	4.016803E-11	3.997303E-11	4.005295E-11	-2.284963E-6	3.924436E-11	4.019279E-11	3.816438E-11
