#Open Capacitance 1000Hz:4.470340E-12
#Open Capacitance 1000000Hz:Not Measured
#38694_040_2-S_HM_XX_Irrad_1100min_Single
#Date/Time: 4/7/2022 10:49:30 AM
#Sensor Name: 38694_040_2-S_HM_XX
#Station: Tesla
#Annealing Status: 1100 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: After Alibava

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
1	3732187849.140858	1.262321	-20.000000	25.146977	-8.050000E-6	-5.458474E-11	8.056080E-11	-1.135270E-7	-1.135211E-7	-1.135212E-7	-1.135238E-7	-1.135233E-7	-1.135225E-7	-4.370245E-7	-2.638753E-6
2	3732187865.674042	1.262201	-20.000000	25.150325	-8.045000E-6	-5.168101E-11	8.054110E-11	-1.118852E-7	-1.118866E-7	-1.118899E-7	-1.118959E-7	-1.118894E-7	-1.118883E-7	-4.393336E-7	-2.643813E-6
3	3732187881.542724	1.259796	-20.000000	25.144519	-8.044000E-6	-5.488512E-11	8.052460E-11	-1.111411E-7	-1.111412E-7	-1.111403E-7	-1.111444E-7	-1.111417E-7	-1.111411E-7	-4.390488E-7	-2.639416E-6
4	3732187897.464226	1.275357	-20.000000	25.138792	-8.041000E-6	-5.213159E-11	8.051050E-11	-1.109014E-7	-1.109032E-7	-1.109053E-7	-1.109063E-7	-1.109041E-7	-1.109043E-7	-4.396310E-7	-2.641229E-6
5	3732187913.544259	1.268314	-20.000000	25.126525	-8.040000E-6	-5.158085E-11	8.048950E-11	-1.107787E-7	-1.107804E-7	-1.107785E-7	-1.107822E-7	-1.107799E-7	-1.107795E-7	-4.401619E-7	-2.643427E-6
6	3732187929.651682	1.268359	-20.000000	25.116657	-8.040000E-6	-5.017901E-11	8.047830E-11	-1.106686E-7	-1.106292E-7	-1.106148E-7	-1.106090E-7	-1.106304E-7	-1.106220E-7	-4.397369E-7	-2.640499E-6
7	3732187945.616244	1.260031	-20.000000	25.102348	-8.038000E-6	-4.992872E-11	8.046970E-11	-1.106286E-7	-1.106228E-7	-1.106274E-7	-1.106301E-7	-1.106272E-7	-1.106280E-7	-4.399557E-7	-2.641763E-6
8	3732187961.684170	1.271889	-20.000000	25.097494	-8.038000E-6	-5.583635E-11	8.046130E-11	-1.107172E-7	-1.107214E-7	-1.107232E-7	-1.107251E-7	-1.107217E-7	-1.107223E-7	-4.389595E-7	-2.637253E-6
9	3732187977.731101	1.266941	-20.000000	25.109779	-8.036000E-6	-5.358345E-11	8.045360E-11	-1.106151E-7	-1.106118E-7	-1.106056E-7	-1.106093E-7	-1.106105E-7	-1.106105E-7	-4.404076E-7	-2.643874E-6
10	3732187993.774960	1.255018	-20.000000	25.125971	-8.035000E-6	-5.383377E-11	8.044490E-11	-1.105143E-7	-1.105158E-7	-1.105150E-7	-1.105174E-7	-1.105156E-7	-1.105154E-7	-4.399425E-7	-2.641482E-6
11	3732188009.912365	1.254560	-20.000000	25.127873	-8.035000E-6	-5.643715E-11	8.043250E-11	-1.104710E-7	-1.104662E-7	-1.104610E-7	-1.104613E-7	-1.104649E-7	-1.104637E-7	-4.403100E-7	-2.643044E-6
12	3732188026.153029	1.263793	-20.000000	25.106709	-8.034000E-6	-5.588645E-11	8.043040E-11	-1.103802E-7	-1.103812E-7	-1.103872E-7	-1.103861E-7	-1.103837E-7	-1.103836E-7	-4.396693E-7	-2.639550E-6
13	3732188042.039394	1.254441	-20.000000	25.103636	-8.033000E-6	-5.413419E-11	8.043150E-11	-1.104422E-7	-1.104376E-7	-1.104455E-7	-1.104460E-7	-1.104428E-7	-1.104438E-7	-4.401870E-7	-2.642216E-6
14	3732188057.883065	1.264115	-20.000000	25.111940	-8.033000E-6	-5.658734E-11	8.043490E-11	-1.103227E-7	-1.103227E-7	-1.103249E-7	-1.103254E-7	-1.103239E-7	-1.103238E-7	-4.402139E-7	-2.641808E-6
15	3732188074.008312	1.248669	-20.000000	25.122145	-8.032000E-6	-5.523559E-11	8.043010E-11	-1.103059E-7	-1.103008E-7	-1.102978E-7	-1.102965E-7	-1.103002E-7	-1.102993E-7	-4.398507E-7	-2.639919E-6
16	3732188089.950786	1.238171	-20.000000	25.107104	-8.027000E-6	-5.368357E-11	8.042540E-11	-1.100226E-7	-1.100194E-7	-1.100168E-7	-1.100197E-7	-1.100196E-7	-1.100195E-7	-4.397629E-7	-2.638475E-6
17	3732188105.974865	1.259202	-20.000000	25.112158	-8.026000E-6	-5.628693E-11	8.039390E-11	-1.099538E-7	-1.099481E-7	-1.099493E-7	-1.099543E-7	-1.099514E-7	-1.099515E-7	-4.399551E-7	-2.641806E-6
18	3732188122.028858	1.248137	-20.000000	25.092540	-8.023000E-6	-5.378374E-11	8.036480E-11	-1.103876E-7	-1.103881E-7	-1.103875E-7	-1.103874E-7	-1.103877E-7	-1.103876E-7	-4.403590E-7	-2.643734E-6
19	3732188138.160300	1.239034	-20.000000	25.089429	-8.024000E-6	-5.298265E-11	8.041170E-11	-1.096825E-7	-1.096699E-7	-1.096640E-7	-1.096621E-7	-1.096696E-7	-1.096670E-7	-4.410825E-7	-2.643633E-6
20	3732188154.107980	1.240465	-20.000000	25.089031	-8.027000E-6	-5.283252E-11	8.040890E-11	-1.100281E-7	-1.100212E-7	-1.100257E-7	-1.100260E-7	-1.100253E-7	-1.100258E-7	-4.396013E-7	-2.637539E-6
