Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,4.72E+19,2.86E+15
10,4.71E+19,2.86E+15
20,4.71E+19,2.92E+15
30,4.60E+19,2.81E+15
40,4.75E+19,2.46E+15
50,4.82E+19,2.89E+15
60,4.79E+19,2.85E+15
70,4.76E+19,2.83E+15
80,4.88E+19,2.86E+15
