Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,3.64E+19,5.30E+15
10,3.02E+19,4.58E+15
20,2.87E+19,4.21E+15
30,2.89E+19,4.20E+15
40,2.81E+19,3.89E+15
50,2.79E+19,3.65E+15
60,2.80E+19,3.88E+15
70,2.69E+19,3.68E+15
80,2.73E+19,3.68E+15
