GCD Test
Bias: 5000.000000
CV_34341_012_PSS_HM_XX_DIODE_Irradiated
Date/Time: 9/7/2021 5:35:13 PM
Sensor Name: DIODEP
Type: P
Annealing Status: Irradiated and Annealed at 60C for 80 min
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Cp_freq10000.0	LCR_Rp_freq1000.0	LCR_Rp_freq10000.0	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	2.370E-10	4.150E-11	3.140E+5	1.425E+5	   16.8652	   15.1260	   14.8552	  -11.4272	
  -20.0000	1.832E-10	4.316E-11	4.486E+5	1.867E+5	   16.2738	   15.1260	   14.8188	  -11.4577	
  -30.0000	1.520E-10	4.117E-11	5.647E+5	2.231E+5	   15.3844	   15.1135	   14.7802	  -11.5002	
  -40.0000	1.314E-10	3.894E-11	6.337E+5	2.580E+5	   14.8241	   15.1325	   14.7717	  -11.4922	
  -50.0000	1.171E-10	3.661E-11	6.661E+5	2.851E+5	   14.3718	   15.1386	   14.7796	  -11.4806	
  -60.0000	1.328E-10	4.219E-11	6.769E+5	2.657E+5	   13.9812	   15.1227	   14.7815	  -11.4918	
  -70.0000	1.219E-10	4.052E-11	7.564E+5	2.928E+5	   12.9768	   15.0920	   14.7774	  -11.5198	
  -80.0000	1.132E-10	3.903E-11	8.347E+5	3.190E+5	   12.6095	   15.0604	   14.7717	  -11.5500	
  -90.0000	1.054E-10	3.755E-11	9.093E+5	3.449E+5	   12.1524	   15.0570	   14.7536	  -11.5679	
 -100.0000	9.937E-11	3.626E-11	9.894E+5	3.702E+5	   11.3077	   15.0332	   14.5680	  -11.7446	
 -110.0000	9.375E-11	3.369E-11	1.045E+6	3.847E+5	   10.9663	   15.0204	   14.4639	  -11.8439	
 -120.0000	8.860E-11	3.232E-11	1.124E+6	4.096E+5	    0.0000	    0.0000	    0.0000	    0.0000	
