34330_049_2-S_HM_XX
Date/Time: 9/2/2021 11:57:34 AM
Sensor Name: 34330_049_2-S_HM_XX
Type: P
Annealing Status: Not Irradiated
Environment: RT
Tester: Eric Spencer
Notes: Diced at Fermilab

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1000.0	LCR_G_freqfreq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	5.815E-10	4.132E-7	   23.5000	   25.9906	    1.9166	    0.0000	
  -10.0000	4.270E-10	2.684E-7	   23.5000	   25.9906	    1.9166	    0.0000	
  -15.0000	3.419E-10	2.112E-7	   23.5000	   25.9906	    1.9166	    0.0000	
  -20.0000	2.733E-10	1.430E-7	   23.5000	   25.9906	    1.9166	    0.0000	
  -25.0000	2.042E-10	3.937E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -30.0000	1.850E-10	3.135E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -35.0000	1.701E-10	2.742E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -40.0000	1.582E-10	2.504E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -45.0000	1.478E-10	2.626E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -50.0000	1.391E-10	2.206E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -55.0000	1.321E-10	1.612E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -60.0000	1.263E-10	1.957E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -65.0000	1.201E-10	2.656E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -70.0000	1.127E-10	3.135E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -75.0000	1.062E-10	2.163E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -80.0000	1.026E-10	1.295E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -85.0000	9.975E-11	1.127E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -90.0000	9.712E-11	1.068E-8	   23.5000	   25.9906	    1.9166	    0.0000	
  -95.0000	9.487E-11	9.954E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -100.0000	9.254E-11	1.037E-8	   23.5000	   25.9906	    1.9166	    0.0000	
 -105.0000	9.058E-11	8.849E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -110.0000	8.861E-11	9.249E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -115.0000	8.681E-11	9.081E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -120.0000	8.512E-11	8.843E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -125.0000	8.348E-11	7.936E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -130.0000	8.204E-11	6.959E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -135.0000	8.069E-11	7.972E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -140.0000	7.953E-11	7.003E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -145.0000	7.813E-11	7.540E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -150.0000	7.695E-11	7.308E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -155.0000	7.591E-11	7.063E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -160.0000	7.489E-11	6.665E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -165.0000	7.373E-11	5.983E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -170.0000	7.278E-11	4.951E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -175.0000	7.183E-11	6.246E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -180.0000	7.102E-11	4.855E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -185.0000	7.001E-11	5.706E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -190.0000	6.925E-11	6.094E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -195.0000	6.851E-11	5.612E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -200.0000	6.778E-11	5.059E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -205.0000	6.703E-11	5.390E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -210.0000	6.619E-11	4.493E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -215.0000	6.550E-11	4.376E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -220.0000	6.490E-11	3.600E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -225.0000	6.437E-11	4.185E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -230.0000	6.368E-11	4.578E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -235.0000	6.311E-11	4.273E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -240.0000	6.236E-11	3.726E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -245.0000	6.187E-11	4.785E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -250.0000	6.131E-11	4.766E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -255.0000	6.079E-11	3.077E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -260.0000	6.015E-11	4.749E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -265.0000	5.968E-11	4.724E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -270.0000	5.921E-11	4.474E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -275.0000	5.870E-11	2.601E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -280.0000	5.808E-11	3.996E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -285.0000	5.769E-11	2.662E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -290.0000	5.707E-11	3.353E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -295.0000	5.677E-11	4.120E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -300.0000	5.625E-11	4.099E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -305.0000	5.574E-11	3.220E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -310.0000	5.543E-11	4.084E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -315.0000	5.494E-11	3.950E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -320.0000	5.463E-11	4.196E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -325.0000	5.429E-11	3.625E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -330.0000	5.413E-11	3.869E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -335.0000	5.391E-11	2.473E-9	   23.5000	   25.9906	    1.9166	    0.0000	
