34330_049_2-S_HM_XX
Date/Time: 9/2/2021 11:57:34 AM
Sensor Name: 34330_049_2-S_HM_XX
Type: P
Annealing Status: Not Irradiated
Environment: RT
Tester: Eric Spencer
Notes: Diced at Fermilab

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1000.0	LCR_G_freqfreq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
 -340.0000	5.370E-11	3.430E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -345.0000	5.341E-11	3.092E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -350.0000	5.350E-11	2.754E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -355.0000	5.330E-11	3.853E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -360.0000	5.342E-11	2.704E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -365.0000	5.321E-11	3.748E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -370.0000	5.316E-11	2.557E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -375.0000	5.321E-11	3.712E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -380.0000	5.324E-11	2.169E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -385.0000	5.314E-11	2.426E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -390.0000	5.311E-11	3.588E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -395.0000	5.315E-11	3.869E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -400.0000	5.320E-11	2.652E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -410.0000	5.303E-11	2.659E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -420.0000	5.313E-11	2.116E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -430.0000	5.308E-11	2.033E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -440.0000	5.292E-11	3.265E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -450.0000	5.290E-11	2.665E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -460.0000	5.290E-11	2.862E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -470.0000	5.291E-11	3.442E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -480.0000	5.308E-11	2.338E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -490.0000	5.303E-11	3.513E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -500.0000	5.300E-11	2.361E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -510.0000	5.297E-11	3.610E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -520.0000	5.292E-11	3.609E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -530.0000	5.299E-11	2.343E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -540.0000	5.296E-11	3.114E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -550.0000	5.285E-11	3.793E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -560.0000	5.283E-11	2.747E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -570.0000	5.280E-11	2.730E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -580.0000	5.296E-11	2.555E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -590.0000	5.276E-11	2.713E-9	   23.5000	   25.9906	    1.9166	    0.0000	
 -600.0000	5.277E-11	3.218E-9	   23.5000	   25.9906	    1.9166	    0.0000	
