Annealing at 60C (min),Neff
0,4.45E+19
10,2.74E+19
20,2.16E+19
30,2.09E+19
40,2.11E+19
50,2.02E+19
60,2.03E+19
70,2.21E+19
80,2.15E+19
90,2.09E+19
100,2.28E+19
110,2.42E+19
