,I(600V),I(800V),I(1000V),DepV
34252_009,-2.245957e-11,-2.265044e-11,-2.336405e-11,194.78940528055108
34252_008,-1.472548e-10,-1.486105e-10,-1.497539e-10,193.9640982112462
34252_018,-1.11087e-10,-1.1244e-10,-1.130488e-10,307.6
34253_049,-9.454765e-11,-9.546558e-11,-9.635166e-11,193.9719782769448
34253_036,-1.566453e-10,-1.574904e-10,-1.581921e-10,194.0263105834323
34253_037,-3.17029e-11,-3.156835e-11,-3.314244e-11,193.30784762022608
34254_041,-1.357064e-10,-1.364348e-10,-1.378659e-10,255.0
34254_014,-2.748743e-11,-2.790726e-11,-2.890767e-11,250.0
34254_025,-1.326685e-08,-1.817582e-08,-2.437875e-08,254.0
34330_2S_048,-2.145948e-11,-2.1872e-11,-2.248416e-11,217.74062270606444
34330_2S_049,-2.010435e-11,-2.094975e-11,-1.20379e-10,216.30856227784827
34331_2S_007,-2.678399e-11,-2.754324e-11,-2.889626e-11,218.2177644149394
34331_2S_042,-2.594738e-11,-2.729149e-11,-2.814261e-11,203.14144209741053
34340_014,-1.32654e-11,-1.471296e-11,-1.63628e-11,181.6087300966164
34340_040,-1.81e-11,,,223.0
34340_007,-2.312012e-11,-2.37229e-11,-2.497062e-11,235.0
34340_039,-5.938233e-11,-6.034936e-11,-6.18299e-11,228.0
34341_024,-1.745552e-11,-1.960893e-11,-1.980307e-11,234.0
34341_012,-2.118083e-11,-2.241265e-11,-2.284229e-11,220.0
34341_041,-1.87e-11,,,226.0
34341_013,-2.987732e-11,-3.072132e-11,-3.168528e-11,234.0
34341_038,-3.021738e-11,-3.142743e-11,-3.25511e-11,219.0
34343_015,-2.088183e-11,-2.163699e-11,-2.206619e-11,237.0
34343_036,-1.892903e-11,-1.980885e-11,-2.082659e-11,240.0
36696_039,-4.387705e-11,-4.715743e-11,-4.981606e-11,311.0
36696_010,-5.9349e-11,-6.392618e-11,-6.632995e-11,304.0
36697_036,-4.415947e-11,-4.606559e-11,-4.904526e-11,309.86209740773864
36697_011,-5.290394e-11,-5.683594e-11,-5.984722e-11,312.4239734936517
37398_012,-6.413014e-11,-6.882774e-11,-7.29374e-11,261.2153563485586
37398_001,-7.555586e-11,-8.102288e-11,-8.56011e-11,258.11980921239075
37399_049,-6.316243e-11,-6.753835e-11,-7.156045e-11,261.72011087721904
37399_033,-5.950992e-11,-6.349333e-11,-6.776887e-11,255.3225119650308
