,I(600V),I(800V),I(1000V),DepV
34252_009,-1.171652e-10,-1.292944e-10,-1.726949e-10,188.36012068673216
34252_008,-1.264158e-09,-1.371232e-09,-1.88113e-09,207.48930574438884
34252_018,-9.835743e-10,-1.113639e-09,-1.675647e-09,307.5
34253_049,-2.147049e-10,-2.347339e-10,-3.11433e-10,192.78130754674967
34253_036,-7.986928e-10,-8.694837e-10,-1.147199e-09,197.8696360488308
34253_037,-2.309759e-10,-2.525452e-10,-3.251393e-10,194.87897228710528
34254_041,-1.642223e-09,-1.695116e-09,-1.881527e-09,275.0
34254_014,-8.999206e-10,-9.221632e-10,-9.984398e-10,256.0
34254_025,-1.341902e-08,-1.834642e-08,-2.455787e-08,254.0
34330_2S_048,-1.020221e-10,-1.092451e-10,-1.276858e-10,214.86091360946855
34330_2S_049,-1.052454e-10,-1.090868e-10,-1.20379e-10,211.7375297742781
34331_2S_007,-1.148441e-10,-1.266977e-10,-1.686903e-10,213.68704611922476
34331_2S_042,-1.202309e-10,-1.275797e-10,-1.451148e-10,191.405197556837
34340_014,-1.079606e-10,0.0,0.0,177.97761432724772
34340_040,-1.09e-10,,,222.0
34340_007,-1.539502e-10,-1.663149e-10,-1.971786e-10,245.0
34340_039,-1.627758e-10,-1.778608e-10,-2.113109e-10,227.0
34341_024,-1.203286e-10,-1.265722e-10,-1.331634e-10,233.0
34341_012,-1.232121e-10,-1.287325e-10,-1.532854e-10,222.0
34341_041,-1.16e-10,,,231.0
34341_013,-2.160662e-10,-2.307326e-10,-2.807626e-10,237.0
34341_038,-2.177114e-10,-2.264933e-10,-2.795923e-10,222.0
34343_015,-1.216225e-10,-1.292405e-10,-1.395876e-10,254.0
34343_036,-1.088918e-10,-1.155083e-10,-1.255277e-10,249.0
36696_039,-1.305203e-10,-1.40657e-10,-1.561982e-10,310.0
36696_010,-1.501898e-10,-1.651717e-10,-1.985209e-10,306.0
36697_036,-1.309079e-10,-1.475129e-10,-1.884845e-10,302.06154871935934
36697_011,-1.42627e-10,-1.576304e-10,-1.912003e-10,301.2250662202477
37398_012,-1.647729e-10,-1.857175e-10,-2.44892e-10,278.60253478401853
37398_001,-1.829786e-10,-2.043289e-10,-2.637268e-10,277.5774164171586
37399_049,-1.563845e-10,-1.775815e-10,-2.375031e-10,266.6149192906757
37399_033,-1.536125e-10,-1.746455e-10,-2.395055e-10,259.8158042672881
