,I(600V),I(800V),I(1000V),DepV
34252_009,-1.147176e-10,-1.210291e-10,-1.373142e-10,190.70382084576852
34252_008,-1.284602e-09,-1.333171e-09,-1.575754e-09,181.72375769835483
34252_018,-9.89259e-10,-1.04002e-09,-1.306032e-09,304.3
34253_049,-9.181383e-10,-9.513551e-10,-1.105547e-09,186.4495744502138
34253_036,-4.737914e-10,-4.912105e-10,-5.644829e-10,187.7808139700955
34253_037,-2.106858e-10,-2.171737e-10,-2.308231e-10,164.95980978541084
34254_041,-5.56706e-10,-5.735966e-10,-6.325599e-10,252.0
34254_014,-2.138865e-10,-2.230485e-10,-2.497787e-10,254.0
34254_025,-1.672724e-10,-1.743716e-10,-1.885301e-10,257.0
34330_2S_048,-1.046773e-10,-1.138824e-10,-1.481471e-10,210.6682454844017
34330_2S_049,-1.015979e-10,-1.085075e-10,-1.219435e-10,206.2800988883867
34331_2S_007,-1.115211e-10,-1.197178e-10,-1.489282e-10,211.9718199155233
34331_2S_042,-1.160112e-10,-1.242308e-10,-1.46578e-10,196.4672173909603
34340_014,-1.03e-10,-1.07e-10,-1.24e-10,176.235169590637
34340_040,-1.090465e-10,,,222.0
34340_007,-2.229789e-10,-2.331151e-10,-2.639087e-10,248.0
34340_039,-1.59498e-10,-1.669812e-10,-1.881212e-10,232.0
34341_024,-1.21066e-10,-1.223814e-10,-1.276972e-10,234.0
34341_012,-1.107233e-10,-1.157452e-10,-1.306661e-10,221.0
34341_041,-1.09e-10,,,229.0
34341_013,-2.271056e-10,-2.356624e-10,-2.645306e-10,236.0
34341_038,-2.117922e-10,-2.202799e-10,-2.490976e-10,224.0
34343_015,-1.176942e-10,-1.230648e-10,-1.309306e-10,243.0
34343_036,-1.092527e-10,-1.140169e-10,-1.226059e-10,243.0
36696_039,-1.325321e-10,-1.433303e-10,-1.725637e-10,308.0
36696_010,-1.473868e-10,-1.59285e-10,-1.870798e-10,302.0
36697_036,-1.336774e-10,-1.451853e-10,-1.714498e-10,275.9181583694299
36697_011,-1.433614e-10,-1.552506e-10,-1.781013e-10,279.1640557328033
37398_012,-1.613415e-10,-1.749356e-10,-2.048537e-10,266.4901304991275
37398_001,-1.81352e-10,-1.958271e-10,-2.250862e-10,258.5424103471546
37399_049,-1.549721e-10,-1.677539e-10,-2.011429e-10,264.6045587114039
37399_033,-1.514785e-10,-1.647344e-10,-1.987542e-10,260.0461998373647
