#Open Capacitance 1000Hz:4.659790E-12
#Open Capacitance 100000Hz:4.284490E-12
#34341_041_PSS_XX_HM_Irrad_20min
#Date/Time: 8/12/2021 11:09:14 AM
#Sensor Name: 34341_041_PSS_XX_HM_Irrad_20min
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0	IstripNbr_0	IstripNbr_1	IstripNbr_2	IstripNbr_3	IstripNbr_Mean	IstripNbr_Median	I_RBias Nbr_V-5.0	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
1	3711625825.750065	1.912611	-20.000000	24.054190	-2.525300E-5	-6.429799E-11	8.900530E-11	5.074150E-12	-3.704972E-7	-3.704556E-7	-3.704036E-7	-3.703894E-7	-3.704365E-7	-3.704296E-7	-1.577483E-6	-3.704972E-7	-3.704556E-7	-3.704036E-7	-3.703894E-7	-3.704365E-7	-3.704296E-7	-1.589191E-6	-3.625715E-7	-3.636252E-7	-3.650653E-7	-3.698642E-7	-4.621797E-7	-4.577649E-7
2	3711625875.313446	1.960968	-20.000000	24.052961	-2.526200E-5	-6.004244E-11	8.891860E-11	5.116510E-12	-6.365095E-7	-6.322142E-7	-6.201367E-7	-6.172384E-7	-6.265247E-7	-6.261755E-7	-1.302682E-6	-6.390053E-7	-6.414040E-7	-6.344958E-7	-6.395255E-7	-6.386077E-7	-6.392654E-7	-1.320021E-6	-6.122075E-7	-6.210220E-7	-6.012529E-7	-5.925043E-7	-6.053583E-7	-5.293412E-7
3	3711625923.991658	1.874941	-20.000000	24.032608	-2.526300E-5	-5.783956E-11	8.883350E-11	5.118200E-12	-3.612273E-7	-3.612028E-7	-3.612254E-7	-3.612529E-7	-3.612271E-7	-3.612264E-7	-1.593117E-6	-3.621024E-7	-3.621925E-7	-3.623361E-7	-3.625264E-7	-3.622894E-7	-3.622643E-7	-1.592842E-6	-4.784667E-7	-4.841804E-7	-4.926779E-7	-4.935290E-7	-4.696074E-7	-3.695844E-7
4	3711625972.932948	1.971574	-20.000000	24.015249	-2.524700E-5	-6.149432E-11	8.885170E-11	5.123060E-12	-4.045996E-7	-4.076277E-7	-4.081796E-7	-4.076815E-7	-4.070221E-7	-4.076546E-7	-1.540811E-6	-4.036200E-7	-4.042648E-7	-4.018601E-7	-4.053175E-7	-4.037656E-7	-4.039424E-7	-1.553873E-6	-3.940530E-7	-4.017246E-7	-4.005700E-7	-3.924137E-7	-3.669649E-7	-3.658245E-7
5	3711626022.020377	1.958499	-20.000000	23.998068	-2.524800E-5	-6.044298E-11	8.884690E-11	5.122590E-12	-3.739550E-7	-3.737768E-7	-3.748664E-7	-3.739449E-7	-3.741358E-7	-3.739500E-7	-1.583788E-6	-3.712581E-7	-3.716522E-7	-3.721321E-7	-3.725572E-7	-3.718999E-7	-3.718921E-7	-1.586202E-6	-3.713733E-7	-3.710267E-7	-3.707397E-7	-3.706679E-7	-3.730779E-7	-3.681234E-7
6	3711626071.085530	1.877576	-20.000000	23.967829	-2.524600E-5	-5.829014E-11	8.884980E-11	5.122750E-12	-3.639855E-7	-3.637184E-7	-3.632842E-7	-3.628391E-7	-3.634568E-7	-3.635013E-7	-1.596000E-6	-3.620902E-7	-3.620691E-7	-3.620833E-7	-3.621939E-7	-3.621091E-7	-3.620867E-7	-1.597772E-6	-3.613426E-7	-3.623339E-7	-3.637844E-7	-3.725156E-7	-3.714955E-7	-3.723453E-7
7	3711626120.301734	1.868351	-20.000000	23.976509	-2.524200E-5	-6.154438E-11	8.885420E-11	5.122860E-12	-3.627217E-7	-3.626589E-7	-3.623915E-7	-3.622496E-7	-3.625054E-7	-3.625252E-7	-1.595232E-6	-3.625626E-7	-3.626383E-7	-3.627328E-7	-3.628120E-7	-3.626864E-7	-3.626856E-7	-1.597757E-6	-3.671383E-7	-3.698154E-7	-3.684573E-7	-3.666002E-7	-3.671128E-7	-3.676570E-7
8	3711626169.415188	1.887605	-20.000000	23.940145	-2.521100E-5	-6.214518E-11	8.886000E-11	5.123200E-12	-3.717319E-7	-3.709993E-7	-3.714379E-7	-3.714505E-7	-3.714049E-7	-3.714442E-7	-1.588387E-6	-3.666148E-7	-3.650849E-7	-3.642515E-7	-3.636610E-7	-3.649031E-7	-3.646682E-7	-1.597481E-6	-3.639599E-7	-3.616517E-7	-3.618693E-7	-3.615146E-7	-3.637389E-7	-3.656061E-7
9	3711626218.398298	1.936442	-20.000000	23.941709	-2.520600E-5	-6.279602E-11	8.887680E-11	5.122440E-12	-3.593487E-7	-3.593224E-7	-3.593010E-7	-3.593296E-7	-3.593254E-7	-3.593260E-7	-1.597292E-6	-3.599058E-7	-3.599411E-7	-3.599476E-7	-3.599315E-7	-3.599315E-7	-3.599363E-7	-1.599326E-6	-3.589491E-7	-3.598572E-7	-3.605701E-7	-3.610995E-7	-3.620404E-7	-3.628201E-7
10	3711626267.495101	1.850477	-20.000000	23.927164	-2.520700E-5	-5.919137E-11	8.886610E-11	5.122390E-12	-3.592964E-7	-3.593143E-7	-3.593157E-7	-3.592871E-7	-3.593034E-7	-3.593054E-7	-1.597690E-6	-3.595326E-7	-3.595128E-7	-3.594741E-7	-3.594444E-7	-3.594910E-7	-3.594935E-7	-1.597848E-6	-3.585262E-7	-3.593740E-7	-3.604634E-7	-3.611732E-7	-3.618340E-7	-3.626493E-7
