File,I(600V),I(800V),I(1000V),DepV
34340_007_PSS_HM_XX_DIODEQUARTER,-1.000066e-10,-1.056261e-10,-1.205828e-10,235
34340_007_PSS_HM_XX_DIODEHALFPSTOP_GRConnected,-2.312012e-11,-2.37229e-11,-2.497062e-11,235
34340_007_PSS_HM_XX_DIODEHALFPSTOP,-1.539502e-10,-1.663149e-10,-1.971786e-10,245
34340_007_PSS_HM_XX_DIODEHALF,-2.229789e-10,-2.331151e-10,-2.639087e-10,248
34340_007_PSS_HM_XX_DIODE,-3.217037e-10,-3.386138e-10,-3.783879e-10,285
34330_007_PSS_HM_XX_IRRADSENSOR,-3.3650E-9,-3.5200E-9,-3.8040E-9,245
