Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.71E+19,2.20E+15
10,2.17E+19,2.04E+15
20,1.95E+19,1.86E+15
30,1.84E+19,1.79E+15
40,1.63E+19,1.71E+15
50,1.65E+19,1.65E+15
60,1.62E+19,1.61E+15
70,1.68E+19,1.59E+15
80,1.70E+19,1.54E+15
90,1.66E+19,1.56E+15
100,1.77E+19,1.57E+15
120,1.78E+19,1.48E+15
