Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,1.74E+19,1.46E+15
15,1.31E+19,1.41E+15
20,1.24E+19,1.23E+15
30,1.21E+19,1.24E+15
40,1.19E+19,1.16E+15
50,1.17E+19,1.12E+15
60,1.17E+19,1.09E+15
70,1.16E+19,1.08E+15
80,1.16E+19,1.06E+15
90,1.15E+19,1.03E+15
100,1.15E+19,1.01E+15
120,1.15E+19,9.89E+14
150,1.14E+19,9.59E+14
180,1.13E+19,9.19E+14
240,1.25E+19,8.74E+14
