Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,1.90E+19,1.58E+15
15,1.47E+19,1.65E+15
20,1.38E+19,1.41E+15
30,1.31E+19,1.41E+15
40,1.28E+19,1.30E+15
50,1.22E+19,1.26E+15
60,1.22E+19,1.22E+15
70,1.21E+19,1.22E+15
80,1.21E+19,1.18E+15
90,1.21E+19,1.16E+15
100,1.22E+19,1.14E+15
120,1.21E+19,1.10E+15
150,1.26E+19,1.08E+15
180,1.27E+19,1.05E+15
240,1.45E+19,1.00E+15
