Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,1.93E+19,1.56E+15
15,1.65E+19,1.38E+15
20,1.35E+19,1.07E+15
30,1.29E+19,1.25E+15
40,1.27E+19,1.08E+15
50,1.21E+19,9.04E+14
60,1.21E+19,1.03E+15
70,1.20E+19,9.49E+14
80,1.20E+19,1.05E+15
90,1.19E+19,9.69E+14
100,1.19E+19,1.02E+15
120,1.19E+19,9.29E+14
150,1.25E+19,8.89E+14
180,1.28E+19,8.64E+14
240,1.55E+19,8.34E+14
