Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.22E+19,1.90E+15
15,1.80E+19,1.65E+15
20,1.59E+19,1.42E+15
30,1.47E+19,1.37E+15
40,1.46E+19,1.25E+15
50,1.35E+19,1.19E+15
60,1.33E+19,1.16E+15
70,1.29E+19,1.13E+15
80,1.30E+19,1.11E+15
90,1.30E+19,1.11E+15
100,1.30E+19,1.09E+15
120,1.33E+19,1.06E+15
150,1.39E+19,1.01E+15
180,1.45E+19,9.84E+14
240,1.62E+19,9.44E+14
