,I(600V),I(800V),I(1000V),DepV
34252_008,-2.01e-06,-2.27e-06,-2.48e-06,268.0
34253_037,-2.087459e-06,-2.402852e-06,-2.641457e-06,220.0
34254_025,-1.823233e-06,-2.004496e-06,-2.193892e-06,121.0
34330_2S_048,-1.060225e-06,-1.146964e-06,-1.212418e-06,402.0
34331_2S_042,-1.097268e-06,-1.196795e-06,-1.282652e-06,548.0
34340_040,-1.395638e-06,-1.762428e-06,-2.114292e-06,549.36
34340_039,-1.635581e-06,-1.839815e-06,-2.022671e-06,567.0
34341_012,-2.031372e-06,-2.58393e-06,-2.947118e-06,571.0
34341_041,-1.4626e-06,-1.605207e-06,-1.76041e-06,591.0
34343_036,-1.956333e-07,-3.529041e-07,-6.429967e-07,557.5684008698001
36696_039,-1.985151e-06,-2.297371e-06,-2.658431e-06,623.9924717071674
36697_011,0.0,0.0,0.0,0.0
37398_012,-3.181856e-06,-3.624375e-06,-4.218034e-06,802.0
37399_049,-2.159136e-06,-2.493286e-06,-2.851635e-06,851.0
