GCD Test								
Bias: 5000.000000								
IV_34341_041_PSS_HM_XX_DIODE								
Date/Time: 7/6/2021 1:16:24 PM								
Sensor Name: DIODE								
Type: P								
Annealing Status: Not Irradiated								
Environment: 20C								
Tester: Andrew Kent								
								
Time Delay per Ramp Step (s): 0.500								
								
CV Time Delay per Measurement (s) :0.500								
								
AC Voltage (V): 0.500								
								
Current Number of measurements per voltage: 1.000								
								
IV Time Delay per Measurement (s) :0.000								
								
								
BiasVoltage	Total Current_Avg	Total Current_0	Bias Current_Avg	Bias Current_0	Temperature	Air_Temp	Humidity	Dewpoint
-285	-8.43E-10	-8.43E-10	-2.11E-10	-2.11E-10	19.8134	20.4188	7.0231	-16.4958
-290	-9.83E-10	-9.83E-10	-2.17E-10	-2.17E-10	19.8597	20.4172	7.0247	-16.4943
-295	-1.00E-09	-1.00E-09	-2.19E-10	-2.19E-10	19.9395	20.4111	7.018	-16.51
-300	-8.71E-10	-8.71E-10	-2.22E-10	-2.22E-10	20.045	20.4192	7.0326	-16.4794
-305	-9.79E-10	-9.79E-10	-2.22E-10	-2.22E-10	20.1789	20.4192	7.0228	-16.4794
-310	-1.02E-09	-1.02E-09	-2.26E-10	-2.26E-10	20.1789	20.4192	7.0228	-16.496
-315	-1.05E-09	-1.05E-09	-2.25E-10	-2.25E-10	20.2973	20.4128	7.0202	-16.505
-320	-9.55E-10	-9.55E-10	-2.25E-10	-2.25E-10	20.2973	20.4128	7.0202	-16.505
-325	-9.26E-10	-9.26E-10	-2.25E-10	-2.25E-10	20.3488	20.4223	7.0152	-16.5066
-330	-9.01E-10	-9.01E-10	-2.22E-10	-2.22E-10	20.3488	20.4192	7.0139	-16.5111
-335	-9.96E-10	-9.96E-10	-2.20E-10	-2.20E-10	20.3102	20.4259	7.0237	-16.4895
-340	-9.33E-10	-9.33E-10	-2.17E-10	-2.17E-10	20.2098	20.4188	7.0025	-16.5307
-345	-9.23E-10	-9.23E-10	-2.17E-10	-2.17E-10	20.0965	20.4188	7.0047	-16.5307
-350	-8.97E-10	-8.97E-10	-2.14E-10	-2.14E-10	20.0965	20.4135	7.0047	-16.5308
-355	-9.66E-10	-9.66E-10	-2.11E-10	-2.11E-10	19.991	20.4043	6.9921	-16.5591
-360	-9.14E-10	-9.14E-10	-2.10E-10	-2.10E-10	19.9035	20.4102	6.9918	-16.5553
-365	-9.36E-10	-9.36E-10	-2.13E-10	-2.13E-10	19.8314	20.4014	6.9899	-16.5651
-370	-9.80E-10	-9.80E-10	-2.14E-10	-2.14E-10	19.7774	20.3949	6.9905	-16.5687
-375	-9.21E-10	-9.21E-10	-2.14E-10	-2.14E-10	19.7774	20.3949	6.9905	-16.5687
-380	-9.78E-10	-9.78E-10	-2.17E-10	-2.17E-10	19.7877	20.4011	6.9766	-16.5879
-385	-1.05E-09	-1.05E-09	-2.21E-10	-2.21E-10	19.8263	20.3965	6.988	-16.5719
-390	-1.23E-09	-1.23E-09	-2.24E-10	-2.24E-10	19.9035	20.3994	6.9949	-16.5579
-395	-1.07E-09	-1.07E-09	-2.26E-10	-2.26E-10	20.0373	20.3994	6.9864	-16.5579
-400	-1.10E-09	-1.10E-09	-2.29E-10	-2.29E-10	20.0373	20.3994	6.9864	-16.5724
-410	-1.22E-09	-1.22E-09	-2.32E-10	-2.32E-10	20.1506	20.3945	6.9836	-16.5809
-420	-1.25E-09	-1.25E-09	-2.33E-10	-2.33E-10	20.2793	20.4128	6.9946	-16.5486
-430	-1.18E-09	-1.18E-09	-2.33E-10	-2.33E-10	20.3385	20.4128	6.9886	-16.5486
-440	-1.23E-09	-1.23E-09	-2.34E-10	-2.34E-10	20.3385	20.4117	6.9886	-16.5596
-450	-1.29E-09	-1.29E-09	-2.30E-10	-2.30E-10	20.3462	20.4167	6.981	-16.5689
-460	-1.36E-09	-1.36E-09	-2.28E-10	-2.28E-10	20.3076	20.4081	6.9836	-16.5709
-470	-1.25E-09	-1.25E-09	-2.26E-10	-2.26E-10	20.2252	20.4005	6.969	-16.6013
-480	-1.34E-09	-1.34E-09	-2.24E-10	-2.24E-10	20.1171	20.4005	6.9709	-16.6013
-490	-1.31E-09	-1.31E-09	-2.22E-10	-2.22E-10	20.1171	20.4008	6.9709	-16.5979
-500	-1.50E-09	-1.50E-09	-2.21E-10	-2.21E-10	20.0039	20.4029	6.9674	-16.6023
-510	-1.40E-09	-1.40E-09	-2.20E-10	-2.20E-10	19.87	20.4029	6.9592	-16.6023
-520	-1.38E-09	-1.38E-09	-2.20E-10	-2.20E-10	19.87	20.4029	6.9592	-16.6163
-530	-1.43E-09	-1.43E-09	-2.22E-10	-2.22E-10	19.8005	20.4004	6.9567	-16.6225
-540	-1.57E-09	-1.57E-09	-2.22E-10	-2.22E-10	19.7645	20.3889	6.9611	-16.6233
-550	-1.57E-09	-1.57E-09	-2.26E-10	-2.26E-10	19.7774	20.3889	6.9494	-16.6233
-560	-1.63E-09	-1.63E-09	-2.29E-10	-2.29E-10	19.7774	20.3885	6.9494	-16.6437
-570	-1.75E-09	-1.75E-09	-2.33E-10	-2.33E-10	19.8443	20.38	6.9526	-16.6445
-580	-1.77E-09	-1.77E-09	-2.37E-10	-2.37E-10	19.9653	20.387	6.9579	-16.6302
-590	-1.74E-09	-1.74E-09	-2.39E-10	-2.39E-10	20.0965	20.387	6.9519	-16.6302
-600	-1.88E-09	-1.88E-09	-2.42E-10	-2.42E-10	20.0965	20.3788	6.9519	-16.6465
