File,I(600V),I(800V),I(1000V),DepV
37398_012_PSS_HM_XX_IRRADSENSOR_1100min,-1.976e-05,-2.301e-05,-2.62e-05,1000
37398_012_PSS_HM_XX_DIODEQUARTER,-1.161751e-06,-1.364875e-06,-1.615183e-06,597
37398_012_PSS_HM_XX_DIODE,-1.273694e-05,-1.41896e-05,-1.602375e-05,1000
37398_012_PSS_HM_XX_DIODEHALF,-3.454343e-06,-3.917034e-06,-4.560804e-06,694
37398_012_PSS_HM_XX_DIODEHALFPSTOP,-3.181856e-06,-3.624375e-06,-4.218034e-06,802
37398_012_PSS_HM_XX_IRRADSENSOR_20min,-3.475e-05,-4.026e-05,-4.539e-05,1000
37398_012_PSS_HM_XX_DIODEHALFPSTOP_GR,-2.127992e-06,-2.349201e-06,-2.568342e-06,622
