#Open Capacitance 1000Hz:4.536430E-12
#Open Capacitance 100000Hz:Not Measured
#34254_025_PSS_XX_HM_IrradSensor_c
#Date/Time: 5/10/2021 4:21:14 PM
#Sensor Name: 34254_025_PSS_XX_HM_IrradSensor
#Type: P
#Annealing Status: 20 minutes
#Environment: -20C
#Tester: Eric Spencer

#Notes: 1.1e15 Irradiated at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3703522941.605109	-25.806473	-20.000000	2.571429E+38	-2.409300E-5	-4.847683E-11	8.854920E-11	-3.596729E-7	-3.666026E-7	-3.881912E-7	-4.602416E-7	-3.936771E-7	-3.773969E-7	-1.766343E-6
2	3703522957.775850	-25.806475	-20.000000	2.571429E+38	-2.409200E-5	-4.962834E-11	8.856120E-11	-3.495368E-7	-3.495296E-7	-3.495178E-7	-3.494924E-7	-3.495191E-7	-3.495237E-7	-1.772524E-6
3	3703522973.597932	-25.806480	-20.000000	2.571429E+38	-2.407200E-5	-4.847685E-11	8.855790E-11	-3.479892E-7	-3.479741E-7	-3.479768E-7	-3.480107E-7	-3.479877E-7	-3.479830E-7	-1.777007E-6
4	3703522988.688060	-25.806471	-20.000000	2.571429E+38	-2.410200E-5	-5.032922E-11	8.855720E-11	-3.472737E-7	-3.472310E-7	-3.472009E-7	-3.471816E-7	-3.472218E-7	-3.472159E-7	-1.779476E-6
5	3703523004.792271	-25.806474	-20.000000	2.571429E+38	-2.408600E-5	-5.368356E-11	8.855940E-11	-3.467228E-7	-3.467748E-7	-3.468184E-7	-3.468294E-7	-3.467863E-7	-3.467966E-7	-1.780772E-6
6	3703523020.800314	-25.806478	-20.000000	2.571429E+38	-2.408000E-5	-5.138055E-11	8.856130E-11	-3.464644E-7	-3.464106E-7	-3.464040E-7	-3.464007E-7	-3.464199E-7	-3.464073E-7	-1.780295E-6
7	3703523036.781027	-25.806467	-20.000000	2.571429E+38	-2.407200E-5	-5.213152E-11	8.856090E-11	-3.462441E-7	-3.462785E-7	-3.462893E-7	-3.462960E-7	-3.462770E-7	-3.462839E-7	-1.778808E-6
8	3703523052.634022	-25.806477	-20.000000	2.571429E+38	-2.406600E-5	-5.443448E-11	8.856090E-11	-3.460806E-7	-3.460546E-7	-3.460125E-7	-3.459633E-7	-3.460278E-7	-3.460335E-7	-1.780788E-6
9	3703523067.525352	-25.806462	-20.000000	2.571429E+38	-2.406000E-5	-5.363345E-11	8.856410E-11	-3.457134E-7	-3.456587E-7	-3.456198E-7	-3.456152E-7	-3.456518E-7	-3.456392E-7	-1.781392E-6
10	3703523082.870788	-25.806473	-20.000000	2.571429E+38	-2.402500E-5	-6.174393E-11	8.856130E-11	-3.450415E-7	-3.450129E-7	-3.449888E-7	-3.449768E-7	-3.450050E-7	-3.450008E-7	-1.785093E-6
11	3703523097.670918	-25.806478	-20.000000	2.571429E+38	-2.405600E-5	-5.002884E-11	8.855680E-11	-3.464147E-7	-3.463890E-7	-3.463659E-7	-3.463574E-7	-3.463818E-7	-3.463775E-7	-1.787920E-6
12	3703523112.653668	-25.806466	-20.000000	2.571429E+38	-2.405700E-5	-6.064246E-11	8.856440E-11	-3.459042E-7	-3.458916E-7	-3.459170E-7	-3.459191E-7	-3.459080E-7	-3.459106E-7	-1.778726E-6
13	3703523127.822237	-25.806458	-20.000000	2.571429E+38	-2.406000E-5	-5.563602E-11	8.856440E-11	-3.458800E-7	-3.458299E-7	-3.458223E-7	-3.458058E-7	-3.458345E-7	-3.458261E-7	-1.778698E-6
14	3703523142.701262	-25.806463	-20.000000	2.571429E+38	-2.405900E-5	-5.193128E-11	8.856860E-11	-3.455811E-7	-3.455894E-7	-3.455999E-7	-3.456095E-7	-3.455950E-7	-3.455946E-7	-1.778056E-6
15	3703523157.742113	-25.806477	-20.000000	2.571429E+38	-2.406000E-5	-5.919061E-11	8.857150E-11	-3.452572E-7	-3.452333E-7	-3.452339E-7	-3.452317E-7	-3.452390E-7	-3.452336E-7	-1.777903E-6
