GCD Test
Bias: 5000.000000
CV_36696_039_PSS_HM_XX_DIODEFULL
Date/Time: 8/17/2021 2:49:27 PM
Sensor Name: 36696_039_PSS_HM_XX_DIODEFULL
Type: P
Annealing Status: Unirrad
Environment: -20C
Tester: Eric Spencer

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint
   -5.0000	1.026E-10	1.156E+8	   19.9730	   20.9433	    8.9159	  -13.2187	
  -10.0000	7.496E-11	1.978E+8	   19.9730	   20.9433	    8.9159	  -13.2187	
  -15.0000	6.212E-11	2.684E+8	   19.9421	   20.9275	    8.8966	  -13.2572	
  -20.0000	5.440E-11	3.036E+8	   19.9266	   20.9275	    8.8966	  -13.2572	
  -25.0000	4.849E-11	3.766E+8	   19.9266	   20.9297	    8.8820	  -13.2756	
  -30.0000	4.339E-11	4.404E+8	   19.9395	   20.9218	    8.8820	  -13.2816	
  -35.0000	3.876E-11	5.385E+8	   19.9627	   20.9544	    8.8836	  -13.2548	
  -40.0000	3.568E-11	6.070E+8	   19.9961	   20.9311	    8.8795	  -13.2780	
  -45.0000	3.360E-11	5.960E+8	   20.0296	   20.9307	    8.8792	  -13.2787	
  -50.0000	3.204E-11	6.082E+8	   20.0682	   20.9245	    8.8789	  -13.2839	
  -55.0000	2.816E-11	9.197E+7	   20.0914	   20.9394	    8.8710	  -13.2835	
  -60.0000	2.600E-11	7.008E+8	   20.1094	   20.9448	    8.8725	  -13.2773	
  -65.0000	2.516E-11	7.708E+8	   20.1120	   20.9386	    8.8729	  -13.2815	
  -70.0000	2.444E-11	8.288E+8	   20.0991	   20.9213	    8.8659	  -13.3042	
  -75.0000	2.380E-11	8.616E+8	   20.0759	   20.9431	    8.8659	  -13.2877	
  -80.0000	2.322E-11	9.151E+8	   20.0528	   20.9469	    8.8599	  -13.2932	
  -85.0000	2.269E-11	9.411E+8	   19.9961	   20.9370	    8.8498	  -13.3147	
  -90.0000	2.221E-11	9.436E+8	   19.9961	   20.9370	    8.8590	  -13.3020	
  -95.0000	2.177E-11	9.870E+8	   19.9704	   20.9350	    8.8643	  -13.2961	
 -100.0000	2.135E-11	1.004E+9	   19.9421	   20.9438	    8.8608	  -13.2943	
 -105.0000	2.098E-11	9.796E+8	   19.9447	   20.9438	    8.8741	  -13.2943	
 -110.0000	2.062E-11	1.054E+9	   19.9447	   20.9422	    8.8741	  -13.2771	
 -115.0000	2.027E-11	1.078E+9	   19.9575	   20.9430	    8.8798	  -13.2686	
 -120.0000	1.996E-11	1.098E+9	   20.0064	   20.9475	    8.8773	  -13.2687	
 -125.0000	1.967E-11	1.077E+9	   20.0373	   20.9448	    8.8820	  -13.2642	
 -130.0000	1.940E-11	1.146E+9	   20.0631	   20.9527	    8.8694	  -13.2757	
 -135.0000	1.914E-11	1.133E+9	   20.0631	   20.9527	    8.8694	  -13.2757	
 -140.0000	1.890E-11	1.227E+9	   20.0837	   20.9300	    8.8824	  -13.2749	
 -145.0000	1.867E-11	1.231E+9	   20.0965	   20.9300	    8.8659	  -13.2977	
 -150.0000	1.844E-11	1.240E+9	   20.0914	   20.9127	    8.8564	  -13.3238	
 -155.0000	1.824E-11	1.181E+9	   20.0734	   20.9449	    8.8596	  -13.2952	
 -160.0000	1.803E-11	1.300E+9	   20.0502	   20.9374	    8.8637	  -13.2951	
 -165.0000	1.784E-11	1.229E+9	   20.0219	   20.9534	    8.8558	  -13.2940	
 -170.0000	1.767E-11	1.327E+9	   19.9936	   20.9491	    8.8539	  -13.2999	
 -175.0000	1.749E-11	1.235E+9	   19.9498	   20.9461	    8.8501	  -13.3074	
 -180.0000	1.732E-11	1.344E+9	   19.9395	   20.9429	    8.8536	  -13.3050	
 -185.0000	1.716E-11	1.297E+9	   19.9395	   20.9515	    8.8586	  -13.2915	
 -190.0000	1.701E-11	1.289E+9	   19.9498	   20.9464	    8.8694	  -13.2805	
 -195.0000	1.686E-11	1.275E+9	   19.9704	   20.9578	    8.8571	  -13.2889	
 -200.0000	1.671E-11	1.328E+9	   19.9987	   20.9478	    8.8523	  -13.3031	
 -205.0000	1.657E-11	1.279E+9	   20.0270	   20.9648	    8.8520	  -13.2907	
 -210.0000	1.644E-11	1.419E+9	   20.0579	   20.9623	    8.8590	  -13.2829	
 -215.0000	1.631E-11	1.356E+9	   20.0811	   20.9507	    8.8548	  -13.2974	
 -220.0000	1.618E-11	1.329E+9	   20.0939	   20.9622	    8.8384	  -13.3115	
 -225.0000	1.606E-11	1.431E+9	   20.0965	   20.9537	    8.8593	  -13.2890	
 -230.0000	1.595E-11	1.408E+9	   20.0862	   20.9617	    8.8466	  -13.3004	
 -235.0000	1.583E-11	1.370E+9	   20.0682	   20.9515	    8.8618	  -13.2871	
 -240.0000	1.573E-11	1.477E+9	   20.0425	   20.9414	    8.8450	  -13.3180	
 -245.0000	1.561E-11	1.418E+9	   20.0116	   20.9552	    8.8526	  -13.2970	
 -250.0000	1.550E-11	1.440E+9	   20.0116	   20.9552	    8.8526	  -13.2970	
 -255.0000	1.541E-11	1.563E+9	   19.9704	   20.9542	    8.8596	  -13.2882	
 -260.0000	1.530E-11	1.523E+9	   19.9472	   20.9359	    8.8612	  -13.2998	
 -265.0000	1.520E-11	1.409E+9	   19.9318	   20.9452	    8.8444	  -13.3160	
 -270.0000	1.511E-11	1.492E+9	   19.9395	   20.9492	    8.8431	  -13.3147	
 -275.0000	1.500E-11	1.515E+9	   19.9601	   20.9481	    8.8289	  -13.3353	
 -280.0000	1.491E-11	1.395E+9	   19.9884	   20.9642	    8.8295	  -13.3223	
 -285.0000	1.482E-11	1.532E+9	   20.0245	   20.9628	    8.8267	  -13.3273	
 -290.0000	1.474E-11	1.547E+9	   20.0245	   20.9628	    8.8267	  -13.3273	
 -295.0000	1.467E-11	1.485E+9	   20.0991	   20.9657	    8.8150	  -13.3414	
 -300.0000	1.458E-11	1.442E+9	   20.0991	   20.9657	    8.8150	  -13.3414	
 -305.0000	1.454E-11	1.586E+9	   20.1171	   20.9664	    8.8118	  -13.3452	
 -310.0000	1.449E-11	1.459E+9	   20.0914	   20.9631	    8.8169	  -13.3407	
 -315.0000	1.447E-11	1.610E+9	   20.0914	   20.9631	    8.8169	  -13.3407	
 -320.0000	1.444E-11	1.585E+9	   20.0270	   20.9700	    8.8229	  -13.3271	
 -325.0000	1.442E-11	1.493E+9	   19.9987	   20.9695	    8.8166	  -13.3363	
 -330.0000	1.441E-11	1.462E+9	   19.9704	   20.9761	    8.8065	  -13.3454	
 -335.0000	1.440E-11	1.620E+9	   19.9550	   20.9650	    8.8065	  -13.3538	
 -340.0000	1.439E-11	1.552E+9	   19.9447	   20.9572	    8.7998	  -13.3689	
 -345.0000	1.438E-11	1.591E+9	   19.9524	   20.9598	    8.7951	  -13.3736	
