GCD Test
Bias: 5000.000000
CV_36696_039_PSS_HM_XX_DIODEHALFPSTOP
Date/Time: 8/17/2021 4:12:56 PM
Sensor Name: 36696_039_PSS_HM_XX_DIODEHALFPSTOP
Type: P
Annealing Status: Unirrad
Environment: -20C
Tester: Eric Spencer

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freq1000.0	Temperature	Air_Temp	Humidity	Dewpoint
 -310.0000	6.949E-12	2.138E+9	   19.9421	   21.1820	    7.9576	  -14.4278	
 -315.0000	6.938E-12	1.990E+9	   19.9550	   21.1869	    7.9579	  -14.4237	
 -320.0000	6.938E-12	2.167E+9	   19.9961	   21.1883	    7.9614	  -14.4174	
 -325.0000	6.919E-12	2.195E+9	   20.0322	   21.1883	    7.9766	  -14.3942	
 -330.0000	6.923E-12	2.395E+9	   20.0656	   21.1850	    7.9668	  -14.4116	
 -335.0000	6.909E-12	2.113E+9	   20.0888	   21.1859	    7.9560	  -14.4274	
 -340.0000	6.909E-12	2.167E+9	   20.0991	   21.1788	    7.9627	  -14.4225	
 -345.0000	6.912E-12	2.154E+9	   20.0991	   21.1824	    7.9671	  -14.4131	
 -350.0000	6.900E-12	2.192E+9	   20.0837	   21.1889	    7.9538	  -14.4285	
 -355.0000	6.895E-12	2.144E+9	   20.0605	   21.1827	    7.9567	  -14.4288	
 -360.0000	6.899E-12	2.337E+9	   20.0347	   21.1875	    7.9497	  -14.4358	
 -365.0000	6.890E-12	1.959E+9	   19.9910	   21.1875	    7.9402	  -14.4503	
 -370.0000	6.891E-12	2.317E+9	   19.9678	   21.1860	    7.9440	  -14.4456	
 -375.0000	6.890E-12	2.271E+9	   19.9447	   21.1882	    7.9462	  -14.4406	
 -380.0000	6.883E-12	2.050E+9	   19.9344	   21.1874	    7.9510	  -14.4340	
 -385.0000	6.884E-12	2.297E+9	   19.9369	   21.1874	    7.9494	  -14.4340	
 -390.0000	6.877E-12	2.085E+9	   19.9550	   21.1805	    7.9450	  -14.4483	
 -395.0000	6.878E-12	2.203E+9	   19.9550	   21.1805	    7.9450	  -14.4483	
 -400.0000	6.880E-12	2.374E+9	   19.9910	   21.1855	    7.9386	  -14.4542	
 -410.0000	6.876E-12	1.982E+9	   20.0193	   21.1863	    7.9269	  -14.4715	
 -420.0000	6.870E-12	2.146E+9	   20.0579	   21.1845	    7.9307	  -14.4671	
 -430.0000	6.867E-12	2.188E+9	   20.1042	   21.1835	    7.9269	  -14.4736	
 -440.0000	6.870E-12	2.342E+9	   20.1068	   21.1907	    7.9320	  -14.4605	
 -450.0000	6.871E-12	2.184E+9	   20.0862	   21.1907	    7.9352	  -14.4556	
 -460.0000	6.866E-12	2.278E+9	   20.0682	   21.1871	    7.9285	  -14.4685	
 -470.0000	6.864E-12	2.253E+9	   20.0373	   21.1843	    7.9213	  -14.4817	
 -480.0000	6.869E-12	2.313E+9	   20.0013	   21.1883	    7.9181	  -14.4836	
 -490.0000	6.858E-12	2.013E+9	   19.9781	   21.1909	    7.9225	  -14.4749	
 -500.0000	6.864E-12	2.312E+9	   19.9601	   21.1846	    7.9181	  -14.4864	
 -510.0000	6.858E-12	2.402E+9	   19.9498	   21.1840	    7.9130	  -14.4946	
 -520.0000	6.858E-12	2.050E+9	   19.9550	   21.1840	    7.9168	  -14.4887	
 -530.0000	6.861E-12	2.231E+9	   19.9704	   21.1831	    7.9197	  -14.4851	
 -540.0000	6.857E-12	2.453E+9	   19.9884	   21.1836	    7.9200	  -14.4842	
 -550.0000	6.859E-12	2.354E+9	   20.0142	   21.1860	    7.9197	  -14.4829	
 -560.0000	6.852E-12	1.993E+9	   20.0347	   21.1915	    7.9216	  -14.4759	
 -570.0000	6.855E-12	2.287E+9	   20.0579	   21.1921	    7.9159	  -14.4842	
 -580.0000	6.853E-12	2.182E+9	   20.0708	   21.1922	    7.9086	  -14.4952	
 -590.0000	6.851E-12	2.249E+9	   20.0734	   21.1910	    7.9156	  -14.4855	
 -600.0000	6.853E-12	2.413E+9	   20.0631	   21.1910	    7.9143	  -14.4874	
