Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,4.71E+19,5.07E+15
10,3.94E+19,4.53E+15
20,4.08E+19,4.50E+15
30,3.55E+19,4.01E+15
40,3.73E+19,3.92E+15
50,3.59E+19,3.79E+15
60,3.52E+19,3.64E+15
70,3.65E+19,3.57E+15
80,3.64E+19,3.52E+15
90,3.55E+19,3.46E+15
100,3.54E+19,3.35E+15
,,
