Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,4.26E+19,3.88E+15
10,3.47E+19,4.20E+15
20,3.10E+19,3.91E+15
30,2.95E+19,3.50E+15
40,2.92E+19,3.48E+15
50,2.71E+19,3.31E+15
60,2.60E+19,2.98E+15
70,2.60E+19,3.03E+15
80,2.55E+19,3.09E+15
90,2.59E+19,2.94E+15
100,2.56E+19,2.35E+15
130,2.69E+19,2.71E+15
160,2.90E+19,2.63E+15
190,2.89E+19,2.53E+15
