Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,4.23E+19,4.54E+15
10,3.69E+19,4.02E+15
20,3.21E+19,3.84E+15
30,3.00E+19,3.58E+15
40,2.82E+19,3.39E+15
50,2.78E+19,3.29E+15
60,2.79E+19,3.19E+15
70,2.83E+19,3.13E+15
80,2.63E+19,3.07E+15
90,2.74E+19,3.05E+15
100,2.73E+19,2.93E+15
130,2.78E+19,2.77E+15
160,2.81E+19,2.67E+15
190,3.01E+19,2.63E+15
