Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.58E+19,3.46E+15
10,2.53E+19,3.30E+15
20,2.42E+19,3.29E+15
30,2.39E+19,3.17E+15
40,2.42E+19,3.04E+15
50,2.31E+19,2.95E+15
60,2.30E+19,2.90E+15
70,2.32E+19,2.84E+15
80,2.34E+19,2.84E+15
90,2.34E+19,2.80E+15
100,2.36E+19,2.75E+15
130,2.54E+19,2.71E+15
160,2.57E+19,2.61E+15
190,2.76E+19,2.57E+15
