Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.65E+19,3.37E+15
10,2.48E+19,3.19E+15
20,2.37E+19,3.23E+15
30,2.40E+19,3.10E+15
40,2.29E+19,2.91E+15
50,2.31E+19,2.87E+15
60,2.29E+19,2.81E+15
70,2.33E+19,2.76E+15
80,2.33E+19,2.74E+15
90,2.37E+19,2.70E+15
100,2.28E+19,2.65E+15
130,2.43E+19,2.62E+15
160,2.49E+19,2.52E+15
190,2.65E+19,2.45E+15
