Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,3.03E+19,3.90E+15
10,2.90E+19,3.69E+15
20,3.11E+19,3.75E+15
30,3.11E+19,3.60E+15
40,2.99E+19,3.43E+15
50,3.11E+19,3.06E+15
60,2.95E+19,3.31E+15
70,3.36E+19,3.33E+15
80,3.49E+19,3.33E+15
90,2.93E+19,3.18E+15
100,3.02E+19,3.12E+15
,,
