,I(600V),I(800V),I(1000V),DepV
34252_008,-1.821111e-06,-2.036392e-06,-2.249693e-06,1000.0
34253_037,-1.514541e-06,-1.674005e-06,-1.723152e-06,571.0
34254_025,-1.3128e-06,-1.469993e-06,-1.565097e-06,64.0
34340_040,-7.582174e-07,-1.009237e-06,-1.255651e-06,515.1515151515152
34340_039,-1.628295e-06,-1.86424e-06,-2.009966e-06,539.8989898989898
34341_012,-1.063322e-06,-1.401542e-06,-1.701254e-06,513.6636636636637
34341_041,-9.109845e-07,-9.896242e-07,-1.059144e-06,578.7878787878788
34343_036,-1.662618e-07,-3.474241e-07,-6.239059e-07,596.4646464646464
36696_039,-1.949674e-06,-2.254982e-06,-2.597425e-06,1000.0
36697_036,-1.148402e-06,-1.262958e-06,-1.364838e-06,453.872
37398_012,-2.127992e-06,-2.349201e-06,-2.568342e-06,536.3636363636364
37399_049,-1.450997e-06,-1.605354e-06,-1.725406e-06,746.969696969697
