Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,2.46E+19,9.94E+14
10,2.21E+19,9.87E+14
20,2.30E+19,9.54E+14
30,2.26E+19,9.99E+14
40,2.36E+19,9.44E+14
50,2.30E+19,1.04E+15
60,2.33E+19,9.28E+14
70,2.32E+19,9.48E+14
80,2.38E+19,9.88E+14
90,2.38E+19,1.02E+15
100,2.40E+19,9.41E+14
110,2.38E+19,9.30E+14
120,2.38E+19,8.72E+14
150,2.49E+19,1.16E+15
