File,I(600V),I(800V),I(1000V),DepV
34254_025_PSS_HM_XX_DIODEHALFPSTOP,-1.823233e-06,-2.004496e-06,-2.193892e-06,121
34254_025_PSS_HM_XX_DIODEQUARTER,-9.45139e-07,-9.842872e-07,-1.047186e-06,105.14
34254_025_PSS_HM_XX_DIODEHALF,-1.793209e-06,-1.990423e-06,-2.239126e-06,140
34254_025_PSS_HM_XX_DIODEHALFPSTOP_GRConnected,-1.3128e-06,-1.469993e-06,-1.565097e-06,83.62208865042867
34254_025_PSS_HM_XX_DIODE,-5.216964e-06,-6.252879e-06,-6.870338e-06,250
34254_037_PSS_HM_XX_IRRADSENSOR_20min,-2.4340E-5,-2.7600E-5,-3.0410E-5,1000
34254_037_PSS_HM_XX_IRRADSENSOR_1100min,-1.1810E-5,-1.3930E-5,-1.6110E-5,1000
