#Open Capacitance 1000Hz:3.972690E-12
#Open Capacitance 1000000Hz:3.772630E-12
#34340_039_PSS_HM_XX_Irrad_-10C
#Date/Time: 6/28/2021 2:00:07 PM
#Sensor Name: 34340_039_PSS_HM_XX
#Type: P
#Annealing Status: 20 minutes
#Environment: -10C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0	IstripNbr_0	IstripNbr_1	IstripNbr_2	IstripNbr_3	IstripNbr_Mean	IstripNbr_Median	I_RBias Nbr_V-5.0	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
0	3707748024.801569	10.457572	-9.994531	21.874719	-1.848019E-4	-3.603268E-10	2.214650E-11	3.988720E-12	-4.621582E-7	-4.600278E-7	-4.616501E-7	-4.626171E-7	-4.616133E-7	-4.619041E-7	4.356338E-7	-4.621582E-7	-4.600278E-7	-4.616501E-7	-4.626171E-7	-4.616133E-7	-4.619041E-7	6.585677E-7	-7.130190E-7	-7.520064E-7	-7.888274E-7
1	3707748060.691812	10.477845	-10.004915	21.848283	-2.061817E-4	-1.025588E-10	2.208650E-11	3.993290E-12	-8.180864E-7	-8.318785E-7	-8.420764E-7	-8.404228E-7	-8.331160E-7	-8.361507E-7	7.837386E-7	-9.941590E-7	-9.995438E-7	-1.023619E-6	-1.035658E-6	-1.013245E-6	-1.011581E-6	1.049815E-6	-8.774844E-7	-8.981934E-7	-9.054104E-7
2	3707748096.391856	10.438733	-9.997622	21.841031	-2.275578E-4	-7.735104E-11	2.209700E-11	3.993890E-12	-1.029116E-6	-1.030673E-6	-1.039291E-6	-1.043894E-6	-1.035743E-6	-1.034982E-6	1.049834E-6	-1.394336E-6	-1.880145E-6	-1.157189E-6	-1.686141E-6	-1.529453E-6	-1.540238E-6	1.100703E-6	-1.108442E-6	-1.263525E-6	-1.039908E-6
3	3707748132.257456	10.472173	-10.002794	21.843369	-2.041668E-4	-6.515762E-11	2.201190E-11	3.994780E-12	-1.923539E-6	-1.531705E-6	-1.374103E-6	-1.697763E-6	-1.631777E-6	-1.614734E-6	1.040243E-6	-1.170813E-6	-1.173116E-6	-1.183259E-6	-1.185588E-6	-1.178194E-6	-1.178187E-6	1.116617E-6	-8.917823E-7	-9.111088E-7	-9.175770E-7
4	3707748168.159626	10.409719	-10.003527	21.886055	-1.989108E-4	-9.627956E-11	2.183670E-11	3.992980E-12	-1.213891E-6	-1.226429E-6	-1.223082E-6	-1.231657E-6	-1.223765E-6	-1.224756E-6	1.223228E-6	-1.317475E-6	-1.329319E-6	-1.330986E-6	-1.342608E-6	-1.330097E-6	-1.330153E-6	1.291517E-6	-9.086148E-7	-1.063575E-6	-1.300592E-6
5	3707748204.125350	10.401224	-10.002517	21.852761	-2.032121E-4	-4.545705E-11	2.183450E-11	3.991160E-12	-1.339477E-6	-1.348538E-6	-1.348189E-6	-1.350964E-6	-1.346792E-6	-1.348364E-6	1.391813E-6	-1.208574E-6	-1.210188E-6	-1.206497E-6	-1.218401E-6	-1.210915E-6	-1.209381E-6	1.134704E-6	-8.611683E-7	-8.746011E-7	-8.827954E-7
6	3707748239.983072	10.377417	-10.002378	21.849810	-1.970201E-4	-2.949755E-6	2.150250E-11	3.998110E-12	-1.380492E-6	-1.379440E-6	-1.381098E-6	-1.384798E-6	-1.381457E-6	-1.380795E-6	1.290184E-6	-1.439768E-6	-1.454092E-6	-1.473776E-6	-1.486660E-6	-1.463574E-6	-1.463934E-6	1.366735E-6	-1.153430E-6	-1.169227E-6	-1.173992E-6
7	3707748275.898777	10.375333	-9.999029	21.864532	-2.307671E-4	-1.048794E-10	2.062400E-11	3.985510E-12	-1.358568E-6	-1.373118E-6	-1.381902E-6	-1.384865E-6	-1.374613E-6	-1.377510E-6	1.229560E-6	-1.296636E-6	-1.337757E-6	-1.349756E-6	-1.361120E-6	-1.336317E-6	-1.343756E-6	1.241216E-6	-9.030409E-7	-1.007333E-6	-1.213525E-6
8	3707748311.759459	10.353506	-10.026158	21.848481	-2.270483E-4	-9.268491E-11	2.203070E-11	3.999720E-12	-1.319323E-6	-1.329702E-6	-1.332310E-6	-1.344524E-6	-1.331465E-6	-1.331006E-6	1.434604E-6	-1.323731E-6	-1.333577E-6	-1.358566E-6	-1.373678E-6	-1.347388E-6	-1.346072E-6	1.275632E-6	-7.624856E-7	-7.818536E-7	-8.059703E-7
9	3707748347.647526	10.336775	-10.007946	21.890810	-2.402586E-4	-7.939845E-11	2.181480E-11	3.988810E-12	-1.332952E-6	-1.349392E-6	-1.334730E-6	-1.355712E-6	-1.343196E-6	-1.342061E-6	1.402344E-6	-1.252348E-6	-1.258936E-6	-1.257051E-6	-1.266912E-6	-1.258812E-6	-1.257993E-6	1.203653E-6	-6.744808E-7	-6.907978E-7	-7.049188E-7
