Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,3.87E+19,3.99E+15
10,2.44E+19,3.20E+15
20,1.93E+19,2.74E+15
30,1.86E+19,2.87E+15
40,1.81E+19,2.78E+15
50,1.82E+19,2.64E+15
60,1.81E+19,2.30E+15
70,1.91E+19,2.36E+15
80,1.90E+19,2.31E+15
90,1.89E+19,2.80E+15
100,1.88E+19,2.31E+15
110,2.12E+19,2.36E+15
120,1.98E+19,2.28E+15
150,2.11E+19,2.37E+15
180,2.18E+19,2.97E+15
