Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,3.35E+19,2.15E+15
10,3.37E+19,2.17E+15
20,3.47E+19,2.17E+15
30,3.49E+19,2.16E+15
40,3.55E+19,2.17E+15
50,3.58E+19,2.91E+15
60,3.65E+19,2.16E+15
70,3.64E+19,3.12E+15
80,3.70E+19,1.80E+15
90,3.72E+19,2.17E+15
100,3.84E+19,2.21E+15
120,3.87E+19,2.16E+15
