Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,3.30E+19,2.08E+15
10,3.27E+19,2.11E+15
20,3.21E+19,2.08E+15
30,3.60E+19,2.14E+15
40,3.67E+19,2.14E+15
50,3.46E+19,2.09E+15
60,3.51E+19,2.09E+15
70,3.50E+19,2.12E+15
80,3.55E+19,2.10E+15
90,3.58E+19,2.10E+15
100,3.66E+19,2.14E+15
120,3.72E+19,1.78E+15
