,I(600V),I(800V),I(1000V),DepV
2S_34330_048,-1.068031e-06,-1.137681e-06,-1.209932e-06,373.0
2S_34331_042,-6.767018e-07,-7.104799e-07,-7.489087e-07,500.0
34252_008,-1.821111e-06,-2.036392e-06,-2.249693e-06,265.0
34253_037,-1.514541e-06,-1.674005e-06,-1.723152e-06,333.52
34254_025,-1.3128e-06,-1.469993e-06,-1.565097e-06,83.62208865042867
34340_040,-7.582174e-07,-1.009237e-06,-1.255651e-06,508.38289219665535
34340_039,-1.628295e-06,-1.86424e-06,-2.009966e-06,620.0
34341_012,-1.063322e-06,-1.401542e-06,-1.701254e-06,497.9613480483941
34341_041,-9.109845e-07,-9.896242e-07,-1.059144e-06,538.0
34343_036,-1.662618e-07,-3.474241e-07,-6.239059e-07,566.6548486715909
36696_039,-1.949674e-06,-2.254982e-06,-2.597425e-06,523.0534187059488
36697_011,0.0,0.0,0.0,0.0
