File,I(600V),I(800V),I(1000V),DepV,I(DepV)
N4789_20_LL_DIODEQUARTER_GR_Irradiated_60C_0min,-6.77E-06,-7.92E-06,-9.53E-06,4.85E+02,0.00E+00
N4789_20_LL_DIODEQUARTER_GR_Irradiated_60C_100min,-4.76E-06,-5.37E-06,-6.17E-06,314.3543544,4.00E-06
N4789_20_LL_DIODEQUARTER_GR_Irradiated_60C_10min,-6.35E-06,-7.29E-06,-8.56E-06,3.76E+02,0.00E+00
N4789_20_LL_DIODEQUARTER_GR_Irradiated_60C_20min,-6.19E-06,-7.01E-06,-8.21E-06,370.4104104,5.31E-06
N4789_20_LL_DIODEQUARTER_GR_Irradiated_60C_30min,-5.73E-06,-6.50E-06,-7.52E-06,342.5925926,4.84E-06
N4789_20_LL_DIODEQUARTER_GR_Irradiated_60C_40min,-5.50E-06,-6.24E-06,-7.17E-06,325.5655656,4.61E-06
N4789_20_LL_DIODEQUARTER_GR_Irradiated_60C_50min,-5.36E-06,-6.06E-06,-7.00E-06,324.4444444,4.51E-06
N4789_20_LL_DIODEQUARTER_GR_Irradiated_60C_60min,-5.17E-06,-5.83E-06,-6.71E-06,319.95996,4.44E-06
N4789_20_LL_DIODEQUARTER_GR_Irradiated_60C_70min,-5.01E-06,-5.68E-06,-6.52E-06,316.5965966,4.21E-06
N4789_20_LL_DIODEQUARTER_GR_Irradiated_60C_80min,-4.96E-06,-5.62E-06,-6.45E-06,316.1661662,4.19E-06
N4789_20_LL_DIODEQUARTER_GR_Irradiated_60C_90min,-4.91E-06,-5.52E-06,-6.34E-06,314.3543544,4.12E-06
