File,I(600V),I(800V),I(1000V),DepV,I(DepV)
N4789_20_LL_DIODE_GR_Irradiated_60C_0min,-8.84E-05,-0.000108085,-0.000138749,434.8348348,7.50E-05
N4789_20_LL_DIODE_GR_Irradiated_60C_100min,-6.15E-05,-7.34E-05,-8.97E-05,297.8978979,4.80E-05
N4789_20_LL_DIODE_GR_Irradiated_60C_10min,-9.70E-05,-0.000117203,-0.0001432,352.3723724,8.14E-05
N4789_20_LL_DIODE_GR_Irradiated_60C_20min,-9.53E-05,-0.000111772,-0.000136869,315.9159159,7.60E-05
N4789_20_LL_DIODE_GR_Irradiated_60C_30min,-8.66E-05,-0.000101008,-0.000121867,314.1141141,6.95E-05
N4789_20_LL_DIODE_GR_Irradiated_60C_40min,-8.22E-05,-9.32E-05,-0.000109027,308.7087087,6.88E-05
N4789_20_LL_DIODE_GR_Irradiated_60C_50min,-8.05E-05,-9.25E-05,-0.000109717,306.9069069,6.68E-05
N4789_20_LL_DIODE_GR_Irradiated_60C_60min,-7.48E-05,-8.67E-05,-0.00010396,303.9039039,6.03E-05
N4789_20_LL_DIODE_GR_Irradiated_60C_70min,-7.52E-05,-8.51E-05,-0.00010056,303.9039039,6.18E-05
N4789_20_LL_DIODE_GR_Irradiated_60C_80min,-7.45E-05,-8.45E-05,-9.81E-05,304.5045045,6.29E-05
N4789_20_LL_DIODE_GR_Irradiated_60C_90min,-7.28E-05,-8.38E-05,-9.83E-05,301.5015015,5.93E-05
