36697_036_PSS_HM_XX_Irrad
Date/Time: 11/11/2021 11:28:06 AM
Sensor Name: 36697_036_PSS_HM_X
Type: P
Annealing Status: 20 min
Environment: -20C
Tester: Eric Spencer
Notes: Irradiated 56 minutes at RINSC

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1000.0	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
  -10.0000	1.531E-10	1.724E-6	   24.4845	   25.6830	    1.2278	    0.0000	
  -20.0000	1.598E-10	1.424E-6	   24.4845	   25.6830	    1.2278	    0.0000	
  -30.0000	1.578E-10	1.255E-6	   24.4845	   25.6830	    1.2278	    0.0000	
  -40.0000	1.573E-10	1.111E-6	   24.4845	   25.6830	    1.2278	    0.0000	
  -50.0000	1.524E-10	1.013E-6	   24.4845	   25.6830	    1.2278	    0.0000	
  -60.0000	1.455E-10	9.183E-7	   24.4845	   25.6830	    1.2278	    0.0000	
  -70.0000	1.441E-10	9.061E-7	   24.4845	   25.6830	    1.2278	    0.0000	
  -80.0000	1.410E-10	8.172E-7	   24.4845	   25.6830	    1.2278	    0.0000	
  -90.0000	1.370E-10	7.859E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -100.0000	1.294E-10	7.702E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -110.0000	1.241E-10	7.145E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -120.0000	1.217E-10	6.728E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -130.0000	1.178E-10	6.728E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -140.0000	1.135E-10	5.834E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -150.0000	1.198E-10	5.954E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -160.0000	1.084E-10	5.829E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -170.0000	1.119E-10	5.504E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -180.0000	1.126E-10	4.992E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -190.0000	9.619E-11	5.376E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -200.0000	1.088E-10	5.167E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -210.0000	1.018E-10	4.997E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -220.0000	1.055E-10	4.858E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -230.0000	9.788E-11	4.376E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -240.0000	1.014E-10	4.425E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -250.0000	1.015E-10	4.467E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -260.0000	9.574E-11	4.385E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -270.0000	9.560E-11	4.572E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -280.0000	8.057E-11	3.889E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -290.0000	9.549E-11	4.221E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -300.0000	9.440E-11	3.989E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -310.0000	8.272E-11	3.933E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -320.0000	7.978E-11	3.840E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -330.0000	8.364E-11	4.156E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -340.0000	9.027E-11	3.364E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -350.0000	8.041E-11	3.605E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -360.0000	8.699E-11	4.048E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -370.0000	7.732E-11	2.718E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -380.0000	8.348E-11	3.536E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -390.0000	7.171E-11	3.617E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -400.0000	7.858E-11	3.377E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -410.0000	7.817E-11	2.960E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -420.0000	7.299E-11	2.998E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -430.0000	7.778E-11	3.105E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -440.0000	6.287E-11	2.838E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -450.0000	7.360E-11	2.963E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -460.0000	7.099E-11	2.898E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -470.0000	5.803E-11	3.517E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -480.0000	6.704E-11	2.769E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -490.0000	6.760E-11	2.624E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -500.0000	6.172E-11	2.523E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -510.0000	7.451E-11	2.204E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -520.0000	6.124E-11	2.408E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -530.0000	5.916E-11	2.320E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -540.0000	5.194E-11	2.382E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -550.0000	6.048E-11	2.572E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -560.0000	7.339E-11	2.399E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -570.0000	5.150E-11	1.759E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -580.0000	5.543E-11	2.655E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -590.0000	6.031E-11	2.512E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -600.0000	5.300E-11	2.618E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -610.0000	4.511E-11	2.020E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -620.0000	5.534E-11	2.127E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -630.0000	4.610E-11	2.197E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -640.0000	5.499E-11	2.822E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -650.0000	5.628E-11	2.865E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -660.0000	4.174E-11	1.875E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -670.0000	4.584E-11	2.022E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -680.0000	4.394E-11	2.059E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -690.0000	5.137E-11	1.814E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -700.0000	5.104E-11	1.200E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -710.0000	4.753E-11	2.261E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -720.0000	3.522E-11	1.495E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -730.0000	4.875E-11	1.840E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -740.0000	4.665E-11	1.575E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -750.0000	3.768E-11	2.257E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -760.0000	4.017E-11	1.947E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -770.0000	4.873E-11	1.932E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -780.0000	3.893E-11	1.699E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -790.0000	4.072E-11	1.919E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -800.0000	4.523E-11	2.017E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -810.0000	3.474E-11	1.811E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -820.0000	5.170E-11	1.640E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -830.0000	3.854E-11	1.977E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -840.0000	3.264E-11	1.294E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -850.0000	4.563E-11	2.036E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -860.0000	4.359E-11	1.785E-7	   24.4845	   25.6830	    1.2278	    0.0000	
