36697_036_PSS_HM_XX_Irrad
Date/Time: 11/11/2021 11:28:06 AM
Sensor Name: 36697_036_PSS_HM_X
Type: P
Annealing Status: 20 min
Environment: -20C
Tester: Eric Spencer
Notes: Irradiated 56 minutes at RINSC

Time Delay per Ramp Step (s): 1.000

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 4.000

IV Time Delay per Measurement (s) :0.500


BiasVoltage	LCR_Cp_freq1000.0	LCR_G_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
 -870.0000	3.782E-11	2.177E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -880.0000	4.903E-11	1.864E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -890.0000	2.836E-11	1.993E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -900.0000	2.907E-11	1.366E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -910.0000	3.194E-11	1.961E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -920.0000	3.270E-11	1.694E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -930.0000	3.930E-11	1.606E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -940.0000	2.936E-11	1.220E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -950.0000	3.565E-11	2.206E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -960.0000	2.991E-11	1.685E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -970.0000	3.226E-11	1.145E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -980.0000	3.239E-11	1.665E-7	   24.4845	   25.6830	    1.2278	    0.0000	
 -990.0000	3.669E-11	1.789E-7	   24.4845	   25.6830	    1.2278	    0.0000	
-1000.0000	4.258E-11	1.436E-7	   24.4845	   25.6830	    1.2278	    0.0000	
