Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,3.58E+19,2.35E+15
10,3.56E+19,2.36E+15
20,3.83E+19,2.38E+15
30,4.02E+19,2.43E+15
40,3.74E+19,2.36E+15
50,3.83E+19,2.36E+15
60,3.85E+19,2.35E+15
70,3.83E+19,2.37E+15
80,3.96E+19,2.36E+15
90,3.97E+19,2.38E+15
100,4.08E+19,2.25E+15
120,4.11E+19,2.44E+15
