Annealing at 60C (min),Neff,fluence (1 MeV n/cm^-2)
0,4.45E+19,6.27E+15
10,2.74E+19,4.73E+15
20,2.16E+19,4.67E+15
30,2.09E+19,4.36E+15
40,2.11E+19,4.17E+15
50,2.02E+19,4.07E+15
60,2.03E+19,4.21E+15
70,2.21E+19,3.80E+15
80,2.15E+19,3.95E+15
90,2.09E+19,3.83E+15
100,2.28E+19,3.52E+15
110,2.42E+19,3.89E+15
120,2.71E+19,3.90E+15
150,2.75E+19,3.56E+15
180,2.83E+19,4.44E+15
