File,I(600V),I(800V),I(1000V),DepV
34330_048_2-S_HM_XX_DIODE,-2.21E-10,-2.36E-10,-2.85E-10,295.4545455
34330_048_2-S_HM_XX_DIODEHALF,-1.05E-10,-1.14E-10,-1.48E-10,295.4545455
34330_048_2-S_HM_XX_DIODEHALFPSTOP,-1.02E-10,-1.09E-10,-1.28E-10,295.4545455
34330_048_2-S_HM_XX_DIODEHALFPSTOP_GRConnected,-2.15E-11,-2.19E-11,-2.25E-11,291.4141414
34330_048_2-S_HM_XX_DIODEQUARTER,-6.62E-11,-6.91E-11,-7.42E-11,291.4141414
34330_048_2-S_HM_XX_IRRADSENSOR,-2.28E-09,-2.42E-09,-2.69E-09,319.6969697
