GCD Test
Bias: 5000.000000
CV_34330_048_2-S_HM_XX_DIODE
Date/Time: 9/9/2021 6:58:54 PM
Sensor Name: DIODE
Type: P
Annealing Status: Not Irradiated and Not Annealed
Environment: -20C
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1000.0	LCR_Rp_freqfreq1000.0	Temperature	Air_Temp	Humidity	Dewpoint	
 -315.0000	1.440E-11	2.022E+9	   20.0039	   21.7178	    7.1708	  -15.2905	
 -320.0000	1.439E-11	2.024E+9	   20.0039	   21.7214	    7.1629	  -15.3011	
 -325.0000	1.437E-11	2.017E+9	   20.0039	   21.7138	    7.1679	  -15.2982	
 -330.0000	1.435E-11	2.063E+9	   20.0039	   21.7203	    7.1635	  -15.3009	
 -335.0000	1.434E-11	2.183E+9	   20.0013	   21.7160	    7.1638	  -15.3035	
 -340.0000	1.433E-11	2.045E+9	   20.0013	   21.7173	    7.1518	  -15.3228	
 -345.0000	1.432E-11	2.026E+9	   20.0013	   21.7217	    7.1562	  -15.3120	
 -350.0000	1.432E-11	2.075E+9	   20.0013	   21.7217	    7.1562	  -15.3120	
 -355.0000	1.431E-11	2.125E+9	   20.0013	   21.7203	    7.1528	  -15.3190	
 -360.0000	1.430E-11	2.213E+9	   20.0013	   21.7146	    7.1417	  -15.3418	
 -365.0000	1.430E-11	2.099E+9	   20.0039	   21.7174	    7.1512	  -15.3237	
 -370.0000	1.430E-11	2.160E+9	   20.0039	   21.7174	    7.1388	  -15.3445	
 -375.0000	1.429E-11	2.163E+9	   20.0039	   21.7196	    7.1379	  -15.3445	
 -380.0000	1.428E-11	2.133E+9	   20.0013	   21.7148	    7.1392	  -15.3459	
 -385.0000	1.428E-11	2.169E+9	   20.0039	   21.7235	    7.1376	  -15.3422	
 -390.0000	1.427E-11	2.017E+9	   20.0013	   21.7168	    7.1195	  -15.3776	
 -395.0000	1.427E-11	2.108E+9	   20.0013	   21.7213	    7.1354	  -15.3476	
 -400.0000	1.427E-11	2.025E+9	   20.0013	   21.7167	    7.1256	  -15.3675	
 -410.0000	1.426E-11	2.114E+9	   20.0013	   21.7199	    7.1316	  -15.3550	
 -420.0000	1.425E-11	2.078E+9	   20.0039	   21.7126	    7.1192	  -15.3812	
 -430.0000	1.425E-11	2.032E+9	   20.0039	   21.7189	    7.1214	  -15.3728	
 -440.0000	1.425E-11	2.069E+9	   20.0039	   21.7189	    7.1151	  -15.3835	
 -450.0000	1.424E-11	2.054E+9	   20.0039	   21.7178	    7.1183	  -15.3790	
 -460.0000	1.423E-11	2.257E+9	   20.0039	   21.7178	    7.1183	  -15.3790	
 -470.0000	1.423E-11	2.094E+9	   20.0039	   21.7177	    7.1072	  -15.3978	
 -480.0000	1.423E-11	2.108E+9	   20.0039	   21.7140	    7.1085	  -15.3984	
 -490.0000	1.423E-11	2.050E+9	   20.0013	   21.7115	    7.1018	  -15.4115	
 -500.0000	1.422E-11	2.134E+9	   20.0013	   21.7115	    7.1018	  -15.4115	
 -510.0000	1.422E-11	2.047E+9	   20.0013	   21.7135	    7.1015	  -15.4105	
 -520.0000	1.422E-11	2.051E+9	   20.0013	   21.7153	    7.1022	  -15.4082	
 -530.0000	1.421E-11	2.031E+9	   20.0013	   21.7120	    7.0961	  -15.4207	
 -540.0000	1.421E-11	2.034E+9	   19.9987	   21.7125	    7.0879	  -15.4343	
 -550.0000	1.421E-11	2.101E+9	   20.0013	   21.7138	    7.0873	  -15.4344	
 -560.0000	1.421E-11	2.179E+9	   20.0039	   21.7138	    7.0810	  -15.4344	
 -570.0000	1.420E-11	2.087E+9	   20.0039	   21.7085	    7.0952	  -15.4249	
 -580.0000	1.420E-11	2.082E+9	   20.0039	   21.7091	    7.0800	  -15.4503	
 -590.0000	1.420E-11	2.087E+9	   20.0039	   21.7107	    7.0863	  -15.4384	
 -600.0000	1.420E-11	2.054E+9	   20.0013	   21.7084	    7.0803	  -15.4502	
