Bias: 5000.000000
CV_34252_008_PSS_HM_XX_IrradSensor
Date/Time: 4/28/2021 4:51:08 PM
Sensor Name: IrradSensor
Type: P
Annealing Status: Unirradiated
Environment: RT
Tester: Andrew Kent

Time Delay per Ramp Step (s): 0.500

CV Time Delay per Measurement (s) :0.500

AC Voltage (V): 0.500

Current Number of measurements per voltage: 1.000

IV Time Delay per Measurement (s) :0.000


BiasVoltage	LCR_Cp_freq1	LCR_Rp_freq1	Temperature	Air_Temp	Humidity	Dewpoint	
   -5.0000	5.247E-10	1.496E+6	   22.2774	   22.4137	    6.0743	  -16.7693	
  -10.0000	3.307E-10	7.007E+6	   22.2774	   22.4183	    6.0576	  -16.7988	
  -15.0000	2.644E-10	1.551E+7	   22.2774	   22.4183	    6.0576	  -16.7988	
  -20.0000	2.262E-10	2.109E+7	   22.2774	   22.4202	    6.0718	  -16.7695	
  -25.0000	2.012E-10	2.632E+7	   22.2774	   22.4179	    6.0661	  -16.7823	
  -30.0000	1.836E-10	3.093E+7	   22.2774	   22.4179	    6.0519	  -16.8103	
  -35.0000	1.688E-10	3.506E+7	   22.2774	   22.4145	    6.0576	  -16.8015	
  -40.0000	1.564E-10	3.972E+7	   22.2774	   22.4165	    6.0639	  -16.7877	
  -45.0000	1.461E-10	4.435E+7	   22.2748	   22.4186	    6.0474	  -16.8185	
  -50.0000	1.384E-10	4.911E+7	   22.2774	   22.4180	    6.0544	  -16.8052	
  -55.0000	1.324E-10	5.347E+7	   22.2774	   22.4190	    6.0591	  -16.7952	
  -60.0000	1.271E-10	5.620E+7	   22.2748	   22.4214	    6.0557	  -16.8003	
  -65.0000	1.224E-10	4.714E+7	   22.2774	   22.4223	    6.0446	  -16.8214	
  -70.0000	1.146E-10	3.149E+7	   22.2774	   22.4151	    6.0503	  -16.8154	
  -75.0000	1.092E-10	5.663E+7	   22.2748	   22.4227	    6.0370	  -16.8360	
  -80.0000	1.060E-10	7.177E+7	   22.2748	   22.4192	    6.0509	  -16.8112	
  -85.0000	1.031E-10	7.665E+7	   22.2774	   22.4206	    6.0484	  -16.8151	
  -90.0000	1.005E-10	8.122E+7	   22.2774	   22.4178	    6.0411	  -16.8315	
  -95.0000	9.805E-11	8.577E+7	   22.2748	   22.4231	    6.0459	  -16.8183	
 -100.0000	9.580E-11	9.045E+7	   22.2774	   22.4223	    6.0509	  -16.8090	
 -105.0000	9.371E-11	9.494E+7	   22.2774	   22.4242	    6.0408	  -16.8275	
 -110.0000	9.176E-11	9.951E+7	   22.2748	   22.4225	    6.0449	  -16.8207	
 -115.0000	8.984E-11	1.074E+8	   22.2748	   22.4211	    6.0405	  -16.8304	
 -120.0000	8.812E-11	1.148E+8	   22.2774	   22.4188	    6.0367	  -16.8395	
 -125.0000	8.648E-11	1.157E+8	   22.2748	   22.4290	    6.0455	  -16.8147	
 -130.0000	8.494E-11	1.213E+8	   22.2748	   22.4240	    6.0376	  -16.8338	
 -135.0000	8.349E-11	1.229E+8	   22.2748	   22.4261	    6.0417	  -16.8243	
 -140.0000	8.210E-11	1.239E+8	   22.2748	   22.4244	    6.0361	  -16.8367	
 -145.0000	8.078E-11	1.233E+8	   22.2748	   22.4262	    6.0348	  -16.8379	
 -150.0000	7.946E-11	1.251E+8	   22.2748	   22.4262	    6.0310	  -16.8454	
 -155.0000	7.826E-11	1.292E+8	   22.2748	   22.4258	    6.0332	  -16.8413	
 -160.0000	7.713E-11	1.334E+8	   22.2748	   22.4264	    6.0522	  -16.8035	
 -165.0000	7.603E-11	1.376E+8	   22.2748	   22.4258	    6.0414	  -16.8251	
 -170.0000	7.500E-11	1.414E+8	   22.2748	   22.4228	    6.0376	  -16.8347	
 -175.0000	7.402E-11	1.463E+8	   22.2748	   22.4228	    6.0376	  -16.8347	
 -180.0000	7.307E-11	1.501E+8	   22.2774	   22.4276	    6.0281	  -16.8499	
 -185.0000	7.216E-11	1.545E+8	   22.2748	   22.4336	    6.0345	  -16.8331	
 -190.0000	7.127E-11	1.602E+8	   22.2748	   22.4235	    6.0300	  -16.8492	
 -195.0000	7.042E-11	1.660E+8	   22.2748	   22.4260	    6.0367	  -16.8343	
 -200.0000	6.962E-11	1.708E+8	   22.2748	   22.4322	    6.0326	  -16.8379	
 -205.0000	6.887E-11	1.755E+8	   22.2748	   22.4287	    6.0269	  -16.8516	
 -210.0000	6.813E-11	1.808E+8	   22.2748	   22.4243	    6.0278	  -16.8530	
 -215.0000	6.741E-11	1.847E+8	   22.2774	   22.4273	    6.0206	  -16.8651	
 -220.0000	6.668E-11	1.921E+8	   22.2748	   22.4319	    6.0206	  -16.8618	
 -225.0000	6.598E-11	1.987E+8	   22.2748	   22.4319	    6.0142	  -16.8743	
 -230.0000	6.533E-11	2.026E+8	   22.2748	   22.4258	    6.0123	  -16.8824	
 -235.0000	6.468E-11	2.072E+8	   22.2774	   22.4277	    6.0092	  -16.8873	
 -240.0000	6.404E-11	2.102E+8	   22.2774	   22.4277	    6.0092	  -16.8873	
 -245.0000	6.341E-11	2.142E+8	   22.2748	   22.4263	    6.0057	  -16.8952	
 -250.0000	6.279E-11	2.183E+8	   22.2774	   22.4264	    6.0057	  -16.8951	
 -255.0000	6.220E-11	2.212E+8	   22.2748	   22.4286	    6.0133	  -16.8786	
 -260.0000	6.163E-11	2.260E+8	   22.2748	   22.4263	    6.0076	  -16.8915	
 -265.0000	6.109E-11	2.300E+8	   22.2748	   22.4257	    5.9987	  -16.9094	
 -270.0000	6.059E-11	2.330E+8	   22.2748	   22.4244	    6.0079	  -16.8922	
 -275.0000	6.014E-11	2.374E+8	   22.2722	   22.4247	    5.9927	  -16.9220	
 -280.0000	5.976E-11	2.410E+8	   22.2748	   22.4265	    6.0206	  -16.8657	
 -285.0000	5.947E-11	2.430E+8	   22.2748	   22.4265	    6.0149	  -16.8770	
 -290.0000	5.927E-11	2.442E+8	   22.2748	   22.4349	    5.9987	  -16.9027	
 -295.0000	5.914E-11	2.456E+8	   22.2748	   22.4295	    5.9981	  -16.9079	
 -300.0000	5.905E-11	2.470E+8	   22.2774	   22.4303	    6.0000	  -16.9036	
 -305.0000	5.898E-11	2.471E+8	   22.2748	   22.4266	    6.0041	  -16.8981	
 -310.0000	5.894E-11	2.462E+8	   22.2748	   22.4266	    5.9965	  -16.9131	
 -315.0000	5.890E-11	2.482E+8	   22.2748	   22.4318	    6.0073	  -16.8881	
 -320.0000	5.887E-11	2.478E+8	   22.2748	   22.4291	    5.9994	  -16.9057	
 -325.0000	5.884E-11	2.480E+8	   22.2748	   22.4248	    5.9994	  -16.9088	
 -330.0000	5.881E-11	2.483E+8	   22.2748	   22.4260	    6.0006	  -16.9054	
 -335.0000	5.879E-11	2.496E+8	   22.2748	   22.4261	    5.9997	  -16.9072	
 -340.0000	5.877E-11	2.480E+8	   22.2748	   22.4261	    5.9896	  -16.9273	
 -345.0000	5.875E-11	2.489E+8	   22.2748	   22.4250	    5.9930	  -16.9212	
 -350.0000	5.873E-11	2.479E+8	   22.2748	   22.4240	    5.9915	  -16.9251	
 -355.0000	5.871E-11	2.484E+8	   22.2748	   22.4302	    5.9981	  -16.9074	
 -360.0000	5.870E-11	2.487E+8	   22.2748	   22.4195	    5.9861	  -16.9390	
 -365.0000	5.869E-11	2.511E+8	   22.2748	   22.4195	    5.9861	  -16.9390	
 -370.0000	5.868E-11	2.474E+8	   22.2748	   22.4241	    5.9839	  -16.9400	
 -375.0000	5.866E-11	2.485E+8	   22.2748	   22.4271	    5.9839	  -16.9379	
 -380.0000	5.865E-11	2.502E+8	   22.2748	   22.4258	    5.9855	  -16.9357	
 -385.0000	5.864E-11	2.485E+8	   22.2748	   22.4246	    5.9813	  -16.9447	
 -390.0000	5.863E-11	2.505E+8	   22.2748	   22.4200	    5.9873	  -16.9361	
 -395.0000	5.862E-11	2.505E+8	   22.2748	   22.4220	    5.9839	  -16.9415	
 -400.0000	5.861E-11	2.496E+8	   22.2722	   22.4234	    5.9908	  -16.9268	
 -410.0000	5.860E-11	2.501E+8	   22.2722	   22.4196	    5.9842	  -16.9427	
 -420.0000	5.858E-11	2.507E+8	   22.2748	   22.4161	    5.9943	  -16.9251	
 -430.0000	5.856E-11	2.501E+8	   22.2722	   22.4192	    5.9918	  -16.9279	
 -440.0000	5.855E-11	2.513E+8	   22.2722	   22.4167	    5.9880	  -16.9372	
 -450.0000	5.854E-11	2.518E+8	   22.2748	   22.4167	    5.9791	  -16.9548	
 -460.0000	5.853E-11	2.507E+8	   22.2722	   22.4143	    5.9760	  -16.9628	
 -470.0000	5.852E-11	2.509E+8	   22.2722	   22.4112	    5.9820	  -16.9531	
 -480.0000	5.851E-11	2.518E+8	   22.2748	   22.4155	    5.9823	  -16.9494	
 -490.0000	5.850E-11	2.517E+8	   22.2722	   22.4184	    5.9836	  -16.9447	
 -500.0000	5.849E-11	2.523E+8	   22.2722	   22.4115	    5.9788	  -16.9592	
 -510.0000	5.848E-11	2.513E+8	   22.2722	   22.4115	    5.9684	  -16.9799	
 -520.0000	5.847E-11	2.516E+8	   22.2722	   22.4066	    5.9782	  -16.9639	
 -530.0000	5.846E-11	2.517E+8	   22.2722	   22.4130	    5.9798	  -16.9562	
 -540.0000	5.845E-11	2.511E+8	   22.2722	   22.4104	    5.9703	  -16.9769	
 -550.0000	5.845E-11	2.523E+8	   22.2722	   22.4104	    5.9703	  -16.9769	
 -560.0000	5.844E-11	2.516E+8	   22.2722	   22.4120	    5.9709	  -16.9745	
 -570.0000	5.844E-11	2.509E+8	   22.2696	   22.4058	    5.9655	  -16.9897	
 -580.0000	5.843E-11	2.531E+8	   22.2722	   22.4103	    5.9782	  -16.9613	
 -590.0000	5.842E-11	2.521E+8	   22.2722	   22.4098	    5.9658	  -16.9692	
 -600.0000	5.842E-11	2.556E+8	   22.2722	   22.4124	    5.9750	  -16.9661	
